t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.1,0.12,0.10018196279120394,0.04963771641588609,0.09999835758796392,0.20036392558240787,4.092604571834307e-23,-6.669077696130629e-23,0.03656260861846079,3.9058094752524353e-7,1.441895981320177e-7,0.049957133687069465
0.02,3.252606517456513e-21,0.1,0.12,0.10036556805870472,0.04927541330891605,0.09999343294299022,0.20073113611740945,-1.7099273581383348e-20,-7.257111653093713e-20,0.03687876034802181,3.904978966844823e-7,1.4418959878010384e-7,6.614864028300562e-15
0.03,6.505213034913026e-21,0.1,0.12,0.1005507430228654,0.048913215807172485,0.09998522789615992,0.2011014860457308,-5.15601066206033e-20,-4.218732592246484e-19,0.03719048900285256,3.9042015343860705e-7,1.441895994317573e-7,1.014610698140584e-14
0.04,9.75781955236954e-21,0.1,0.12,0.10073746559453023,0.04855114886810834,0.09997374420282339,0.20147493118906046,-9.13603982297164e-20,-8.568098831586348e-19,0.03749780515142604,3.903477209100712e-7,1.441896000895474e-7,1.0969481188643415e-14
0.05,1.3010426069826053e-20,0.1,0.12,0.10092571373858109,0.04818923740941239,0.09995898371463889,0.20185142747716217,-1.6187267611041605e-19,-1.2094223516583238e-18,0.037800719835468795,3.902806020857528e-7,1.441896007260436e-7,7.83349154883588e-15
0.060000000000000005,1.6263032587282566e-20,0.1,0.12,0.10111546547623143,0.04782750631123181,0.09994094837865702,0.20223093095246286,-2.3838809364135656e-19,-1.4817605735910157e-18,0.0380992445411186,3.90218799731898e-7,1.4418960136084883e-7,7.88724765772052e-15
0.08,2.2768245622195592e-20,0.1,0.12,0.10149939211161073,0.04710468454273542,0.09989506142355727,0.20299878422322146,-3.841507552024557e-19,-2.3577466127659826e-18,0.03868317201456433,3.9011116393982273e-7,1.4418962143453266e-7,1.02061020405118e-14
0.1,2.927345865710862e-20,0.1,0.12,0.1018890708752598,0.04638288193830104,0.09983610079224348,0.2037781417505196,-5.750979789415935e-19,-3.64015016944251e-18,0.039249687286472,3.900248217687538e-7,1.4418964122880617e-7,6.4165671154084735e-15
0.12000000000000001,3.577867169202165e-20,0.1,0.12,0.1022843281663998,0.04566229641731451,0.09976408542114285,0.2045686563327996,-7.611154950387051e-19,-5.5786723048346925e-18,0.03979889542667543,3.899597873306568e-7,1.4418966076189765e-7,6.317806116843375e-15
0.14,4.2283884726934674e-20,0.1,0.12,0.10268499145826751,0.04494312551577043,0.09967903571377039,0.20536998291653502,-8.569427921144414e-19,-7.519410557921253e-18,0.04033090603380342,3.899160712741267e-7,1.4418967988820902e-7,1.2565311495573607e-14
0.16,4.87890977618477e-20,0.1,0.12,0.10309088933942562,0.04422556645935144,0.09958097353141719,0.20618177867885124,-9.843079255713102e-19,-9.98248775157282e-18,0.04084583244598196,3.8989368077615653e-7,1.4418969868237568e-7,8.20160752109693e-15
0.18,5.529431079676073e-20,0.1,0.12,0.10350185154736734,0.04350981623643373,0.09946992218911348,0.20700370309473468,-1.1149706883265329e-18,-1.2143120282884085e-17,0.04134379098903025,3.8989261950717133e-7,1.441897170420038e-7,1.2448610042977328e-14
0.22,6.830473686658678e-20,0.1,0.12,0.10433829378877678,0.042084529493661704,0.09920895256582662,0.20867658757755359,-1.6846779362764787e-18,-1.5217671401239095e-17,0.04228928046600393,3.899548850079389e-7,1.4419028168895866e-7,5.829637046259845e-15
0.26,8.334660415625978e-20,0.1,0.12,0.105192979888943,0.040668839195098005,0.09889634261356739,0.21038595977788602,-2.324332553183211e-18,-1.911853893723803e-17,0.043168338636195396,3.9010244060522335e-7,1.4419081940940732e-7,9.077352736989809e-15
0.3,1.0079157407077444e-19,0.1,0.12,0.10606459092898997,0.03926432002708756,0.09853233197243384,0.21212918185797994,-2.7622973753421852e-18,-2.32187093245514e-17,0.04398193570243877,3.903351913975645e-7,1.4419132909685962e-7,1.589192738553801e-14
