t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.1,0.12,0.10000001211426592,0.05000000041980989,0.09999998767582766,0.20003002422853183,1.2188647319081648e-22,-6.816870366145475e-22,9.71445146547012e-17,-2.7755575615628914e-17,-4.289276464151121e-17,0.014338909900549422,-0.028632870021572613,-2.2476509382924644e-5,0.028677819801098833,1.3899658119310855e-16,1.249541543082492e-16,6.959770111146308e-5,3.542286636268802e-16,0.02937048788941706
0.002,9.71445146547012e-20,0.1,0.12,0.10001435605331155,0.04997136773120893,0.09999995495155843,0.2000587121066231,1.390678403421485e-19,1.2540014799424288e-19,9.71445146547012e-17,-2.7755575615628914e-17,-4.2673461328005005e-17,0.014348966472184045,-0.028632505335800643,-4.29719048073789e-5,0.028697932944368083,1.3882856888483358e-16,1.2694002660800548e-16,6.959770111146579e-5,3.5260915610635156e-16,1.9929775710059187e-15
0.003,1.942890293094024e-19,0.1,0.12,0.10002871004377381,0.049942735412827115,0.09999990173226656,0.20008742008754762,2.7785578040258514e-19,2.5189810529133847e-19,9.71445146547012e-17,-2.7755575615628914e-17,-4.125440729770465e-17,0.014359012734412438,-0.02863212958354545,-6.34665546529322e-5,0.02871802546882487,1.387754051447278e-16,1.2451951822543921e-16,6.9597701111471e-5,3.5047125948683604e-16,7.997163814015351e-15
0.004,2.914335439641036e-19,0.1,0.12,0.10004307407534511,0.04991410347573011,0.09999982801869771,0.20011614815069023,4.1660889451972303e-19,3.7577494938540794e-19,9.71445146547012e-17,-2.7755575615628914e-17,-4.125440729770465e-17,0.01436904869085223,-0.028631742766467877,-8.396045874806168e-5,0.028738097381704453,1.3876391769089795e-16,1.2432283778006312e-16,6.959770111145977e-5,3.501778596509285e-16,6.699118951764477e-15
0.005,3.885780586188048e-19,0.1,0.12,0.10005744813772147,0.0498854719309819,0.0999997338115977,0.20014489627544294,5.554090261130486e-19,4.999491226034731e-19,9.71445146547012e-17,-2.7755575615628914e-17,-4.0020768447833965e-17,0.014379074345123895,-0.028631344886215198,-0.00010445361692437421,0.028758148690247787,1.3887745332475604e-16,1.2389549641799715e-16,6.959770111146959e-5,3.5048552619952806e-16,3.819979353760666e-15
0.006,4.85722573273506e-19,0.1,0.12,0.10007183222060251,0.049856840789644856,0.09999961911171255,0.20017366444120502,6.942982092795074e-19,6.233432223931171e-19,9.71445146547012e-17,-2.7755575615628914e-17,-4.0020768447833965e-17,0.014389089700850703,-0.02863093594442113,-0.00012494602901657107,0.028778179401701406,1.3895954490325523e-16,1.232827398755015e-16,6.959770111145373e-5,3.533352812334743e-16,6.409566279968399e-15
0.008,6.800116025829084e-19,0.1,0.12,0.1001006304066954,0.04979957976144555,0.09999932823657164,0.2002312608133908,9.718374426624658e-19,8.701755596498183e-19,9.71445146547012e-17,-2.7755575615628914e-17,-3.7992097375104996e-17,0.014409089531176622,-0.02863008488267584,-0.00016592861430269235,0.028818179062353236,1.387905313022199e-16,1.236278078681637e-16,6.959770111144785e-5,3.525502204818773e-16,6.6994078181580375e-15
0.01,8.743006318923108e-19,0.1,0.12,0.10012946855129345,0.04974232047959875,0.09999895539924618,0.2002889371025869,1.249530003688404e-18,1.1143923239977292e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.767279175063996e-17,0.014429048210870741,-0.028629189594030297,-0.0002069082133447787,0.028858096421741482,1.3887973003941862e-16,1.2094935261979552e-16,6.959770111144426e-5,3.5184694332886936e-16,4.579915528574112e-15
0.012,1.0685896612017132e-18,0.1,0.12,0.10015834657212451,0.049685063032545634,0.09999850060570989,0.20034669314424902,1.5270359375945484e-18,1.355101712741337e-18,9.71445146547012e-17,-2.7755575615628914e-17,-3.767279175063996e-17,0.01444896576901625,-0.02862825009106558,-0.0002478848249288184,0.02889793153803248,1.3859763095343187e-16,1.1848207492005415e-16,6.959770111145218e-5,3.489803376256409e-16,5.6624859157438455e-15
