
".MODEL_1.Last_Run.PART_5_XFORM.TIME"	".MODEL_1.Last_Run.PART_5_XFORM.X"	".MODEL_1.Last_Run.PART_5_XFORM.Y"	".MODEL_1.Last_Run.PART_5_XFORM.Z"	".MODEL_1.Last_Run.PART_5_XFORM.PSI"	".MODEL_1.Last_Run.PART_5_XFORM.THETA"	".MODEL_1.Last_Run.PART_5_XFORM.PHI"	".MODEL_1.Last_Run.PART_5_XFORM.VX"	".MODEL_1.Last_Run.PART_5_XFORM.VY"	".MODEL_1.Last_Run.PART_5_XFORM.VZ"	".MODEL_1.Last_Run.PART_5_XFORM.WX"	".MODEL_1.Last_Run.PART_5_XFORM.WY"	".MODEL_1.Last_Run.PART_5_XFORM.WZ"	".MODEL_1.Last_Run.PART_5_XFORM.ACCX"	".MODEL_1.Last_Run.PART_5_XFORM.ACCY"	".MODEL_1.Last_Run.PART_5_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_5_XFORM.WDX"	".MODEL_1.Last_Run.PART_5_XFORM.WDY"	".MODEL_1.Last_Run.PART_5_XFORM.WDZ"
0.000000e+00	1.387779e-17	6.938894e-18	2.775558e-17	-7.016709e-15	0.000000e+00	0.000000e+00	3.141593e-02	-3.490659e-02	-1.396263e-02	8.000000e+00	-4.000000e+00	1.000000e+01	3.132365e-02	-3.069687e-03	-3.758701e-02	-3.247905e+00	-9.371622e+00	1.437906e+00
5.000000e-02	1.609608e-03	-1.748220e-03	-7.450455e-04	-2.787841e+01	4.490520e-01	2.837999e+01	3.263440e-02	-3.494225e-02	-1.541057e-02	7.881844e+00	-4.353648e+00	1.005553e+01	3.095164e-02	-2.161605e-03	-3.718891e-02	-3.228368e+00	-9.317791e+00	1.258790e+00
1.000000e-01	3.295388e-03	-3.500602e-03	-1.582457e-03	-2.916938e+01	9.019402e-01	3.017540e+01	3.403647e-02	-3.498023e-02	-1.710109e-02	7.732151e+00	-4.775080e+00	1.010583e+01	2.628197e-02	-3.709307e-05	-3.150795e-02	-2.722457e+00	-7.840973e+00	9.088080e-01
1.500000e-01	5.055471e-03	-5.253840e-03	-2.510760e-03	-3.043799e+01	1.359340e+00	3.195064e+01	3.520903e-02	-3.492334e-02	-1.850085e-02	7.611200e+00	-5.120880e+00	1.014333e+01	2.354644e-02	1.253195e-03	-2.795851e-02	-2.353851e+00	-6.940902e+00	7.339128e-01
2.000000e-01	6.887448e-03	-7.004770e-03	-3.527805e-03	-3.168479e+01	1.821527e+00	3.370559e+01	3.665362e-02	-3.487016e-02	-2.027345e-02	7.438949e+00	-5.570748e+00	1.016843e+01	2.902692e-02	1.207352e-03	-3.540149e-02	-3.361841e+00	-9.031518e+00	4.780532e-01
2.500000e-01	8.789168e-03	-8.750187e-03	-4.631680e-03	-3.291011e+01	2.288926e+00	3.543993e+01	3.805514e-02	-3.475301e-02	-2.200747e-02	7.262095e+00	-6.014018e+00	1.017748e+01	2.816379e-02	2.483206e-03	-3.462353e-02	-3.455468e+00	-8.900604e+00	1.537911e-01
3.000000e-01	1.075851e-02	-1.048696e-02	-5.820421e-03	-3.411438e+01	2.761937e+00	3.715338e+01	3.941408e-02	-3.457340e-02	-2.370188e-02	7.080656e+00	-6.450772e+00	1.017057e+01	2.730980e-02	3.728485e-03	-3.382465e-02	-3.548806e+00	-8.771291e+00	-1.689154e-01
3.500000e-01	1.279336e-02	-1.221202e-02	-7.092011e-03	-3.529811e+01	3.240929e+00	3.884577e+01	4.073080e-02	-3.433275e-02	-2.535563e-02	6.894637e+00	-6.881087e+00	1.014775e+01	2.646239e-02	4.944893e-03	-3.300507e-02	-3.642080e+00	-8.643418e+00	-4.908988e-01
4.000000e-01	1.489164e-02	-1.392238e-02	-8.444380e-03	-3.646183e+01	3.726246e+00	4.051697e+01	4.200549e-02	-3.403238e-02	-2.696767e-02	6.704032e+00	-7.305025e+00	1.010901e+01	2.561856e-02	6.134126e-03	-3.216456e-02	-3.735474e+00	-8.516683e+00	-8.130068e-01
4.500000e-01	1.705124e-02	-1.561509e-02	-9.875404e-03	-3.760617e+01	4.218208e+00	4.216692e+01	4.323820e-02	-3.367354e-02	-2.853692e-02	6.508829e+00	-7.722626e+00	1.005430e+01	2.477489e-02	7.297831e-03	-3.130252e-02	-3.829125e+00	-8.390655e+00	-1.136089e+00
5.000000e-01	1.927008e-02	-1.728728e-02	-1.138290e-02	-3.873175e+01	4.717105e+00	4.379556e+01	4.442877e-02	-3.325740e-02	-3.006225e-02	6.309009e+00	-8.133902e+00	9.983534e+00	2.392765e-02	8.437558e-03	-3.041798e-02	-3.923126e+00	-8.264780e+00	-1.460985e+00
5.500000e-01	2.154605e-02	-1.893612e-02	-1.296463e-02	-3.983928e+01	5.223204e+00	4.540290e+01	4.557685e-02	-3.278506e-02	-3.154246e-02	6.104551e+00	-8.538833e+00	9.896588e+00	2.307276e-02	9.554732e-03	-2.950970e-02	-4.017518e+00	-8.138389e+00	-1.788512e+00
6.000000e-01	2.387700e-02	-2.055884e-02	-1.461829e-02	-4.092946e+01	5.736748e+00	4.698896e+01	4.668186e-02	-3.225754e-02	-3.297627e-02	5.895435e+00	-8.937360e+00	9.793288e+00	2.220587e-02	1.065062e-02	-2.857616e-02	-4.112295e+00	-8.010705e+00	-2.119456e+00
6.500000e-01	2.626075e-02	-2.215269e-02	-1.634150e-02	-4.200303e+01	6.257953e+00	4.855375e+01	4.774299e-02	-3.167582e-02	-3.436232e-02	5.681641e+00	-9.329381e+00	9.673426e+00	2.132238e-02	1.172632e-02	-2.761568e-02	-4.207396e+00	-7.880853e+00	-2.454558e+00
