X,Y,Z
2529.326465,-808.9938985,-2.399999854
2526.920284,-808.9938985,-2.399999854
2524.514104,-808.9938985,-2.399999854
2522.107923,-808.9938985,-2.399999854
2519.701743,-808.9938985,-2.399999854
2517.295562,-808.9938985,-2.399999854
2514.889382,-808.9938985,-2.399999854
2512.483201,-808.9938985,-2.399999854
2510.077021,-808.9938985,-2.399999854
2507.67084,-808.9938985,-2.399999854
2505.26466,-808.9938985,-2.399999854
2502.858479,-808.9938985,-2.399999854
2500.452299,-808.9938985,-2.399999854
2498.046118,-808.9938985,-2.399999854
2495.639938,-808.9938985,-2.399999854
2493.233757,-808.9938985,-2.399999854
2490.827577,-808.9938985,-2.399999854
2488.421396,-808.9938985,-2.399999854
2486.015216,-808.9938985,-2.399999854
2483.609035,-808.9938985,-2.399999854
2481.202855,-808.9938985,-2.399999854
2478.796674,-808.9938985,-2.399999854
2476.390494,-808.9938985,-2.399999854
2473.984313,-808.9938985,-2.399999854
2471.578133,-808.9938985,-2.399999854
2469.171952,-808.9938985,-2.399999854
2466.765772,-808.9938985,-2.399999854
2464.359591,-808.9938985,-2.399999854
2461.953411,-808.9938985,-2.399999854
2459.54723,-808.9938985,-2.399999854
2457.141049,-808.9938985,-2.399999854
2454.734869,-808.9938985,-2.399999854
2452.328688,-808.9938985,-2.399999854
2449.922508,-808.9938985,-2.399999854
2447.516327,-808.9938985,-2.399999854
2445.110147,-808.9938985,-2.399999854
2442.703966,-808.9938985,-2.399999854
2440.297786,-808.9938985,-2.399999854
2437.891605,-808.9938985,-2.399999854
2435.485425,-808.9938985,-2.399999854
2433.079244,-808.9938985,-2.399999854
2430.673064,-808.9938985,-2.399999854
2428.266883,-808.9938985,-2.399999854
2425.860703,-808.9938985,-2.399999854
2423.454522,-808.9938985,-2.399999854
2421.048342,-808.9938985,-2.399999854
2418.642161,-808.9938985,-2.399999854
2416.235981,-808.9938985,-2.399999854
2413.8298,-808.9938985,-2.399999854
2411.42362,-808.9938985,-2.399999854
2409.017439,-808.9938985,-2.399999854
2406.611259,-808.9938985,-2.399999854
2404.205078,-808.9938985,-2.399999854
