X,Y,Z
3697.204325,-785.5385465,988.8995185
3694.923036,-785.6788557,988.8596984
3692.641481,-785.8189153,988.8198736
3690.360506,-785.9586656,988.780059
3688.0792,-786.0981548,988.7402386
3685.797876,-786.2373568,988.7004179
3683.516534,-786.3762653,988.6605968
3681.235174,-786.5148741,988.6207755
3678.953795,-786.653178,988.5809538
3676.672398,-786.7911719,988.5411318
3674.390981,-786.9288513,988.5013095
3672.109545,-787.066212,988.4614868
3669.82809,-787.2032503,988.4216638
3667.546615,-787.3399628,988.3818405
3665.26512,-787.4763466,988.3420168
3662.983605,-787.6123988,988.3021927
3660.70207,-787.7481173,988.2623683
3658.420514,-787.8834999,988.2225436
3656.138938,-788.0185448,988.1827185
3653.857342,-788.1532505,988.142893
3651.575725,-788.2876158,988.1030672
3649.294088,-788.4216395,988.063241
3647.012429,-788.5553207,988.0234145
3644.730751,-788.6886589,987.9835876
3642.449052,-788.8216535,987.9437603
3640.167332,-788.9543042,987.9039327
3637.885592,-789.0866107,987.8641047
3635.603832,-789.218573,987.8242764
3633.322052,-789.3501911,987.7844478
3631.040253,-789.4814651,987.7446188
3628.758435,-789.6123953,987.7047894
3626.476597,-789.742982,987.6649598
3624.194741,-789.8732256,987.6251298
3621.912866,-790.0031265,987.5852995
3619.630974,-790.1326852,987.5454689
3617.349065,-790.2619022,987.5056379
3615.067138,-790.3907781,987.4658067
3612.785195,-790.5193135,987.4259752
3610.503236,-790.6475089,987.3861434
3608.221261,-790.7753651,987.3463114
3605.939271,-790.9028826,987.306479
3603.657266,-791.0300621,987.2666465
3601.375246,-791.1569042,987.2268136
3599.093212,-791.2834096,987.1869805
3596.811164,-791.4095787,987.1471472
3594.529101,-791.5354123,987.1073136
3592.247025,-791.6609109,987.0674798
3589.964936,-791.7860751,987.0276457
3587.682832,-791.9109053,986.9878114
3585.400714,-792.0354021,986.9479769
3583.118582,-792.1595659,986.9081421
3580.836435,-792.2833973,986.8683071
3578.553766,-792.4069238,986.8284629
3576.271521,-792.5300949,986.7886261
3573.989257,-792.6529345,986.748789
3571.706976,-792.7754431,986.7089516
3569.424678,-792.8976208,986.6691139
3567.142361,-793.0194677,986.6292759
3564.860027,-793.140984,986.5894376
3562.577675,-793.2621698,986.549599
3560.295306,-793.3830251,986.5097601
3558.012919,-793.50355,986.4699208
3555.730515,-793.6237444,986.4300813
3553.448094,-793.7436082,986.3902415
3551.165655,-793.8631413,986.3504013
3548.883199,-793.9823437,986.3105609
3546.600726,-794.1012152,986.2707201
3544.318235,-794.2197556,986.2308791
3542.035727,-794.3379648,986.1910378
3539.753203,-794.4558426,986.1511961
3537.470661,-794.5733887,986.1113542
3535.188102,-794.6906031,986.0715119
3532.905526,-794.8074854,986.0316694
3530.622933,-794.9240357,985.9918266
3528.340323,-795.0402536,985.9519835
3526.057696,-795.1561392,985.91214
3523.775052,-795.2716924,985.8722963
3521.492392,-795.3869131,985.8324523
3519.209714,-795.5018014,985.792608
3516.92702,-795.6163575,985.7527634
3514.644683,-795.7305629,985.7129251
3512.361787,-795.8444635,985.673077
3510.078871,-795.9580329,985.6332285
