X,Y,Z
2621.593777,-672.3290765,1391.8937
2619.356005,-672.3290748,1391.887362
2617.118233,-672.3290731,1391.881024
2614.880461,-672.3290715,1391.874686
2612.64269,-672.32907,1391.868348
2610.404919,-672.3290686,1391.862009
2608.167148,-672.3290675,1391.85567
2605.929378,-672.3290665,1391.84933
2603.691608,-672.3290657,1391.84299
2601.453839,-672.3290652,1391.836649
2599.21607,-672.3290649,1391.830308
2596.978302,-672.3290648,1391.823967
2594.740535,-672.3290651,1391.817624
2592.502769,-672.3290656,1391.811281
2590.265002,-672.3290663,1391.804937
2588.027237,-672.3290673,1391.798593
2585.789472,-672.3290686,1391.792248
2583.551708,-672.3290702,1391.785903
2581.313944,-672.329072,1391.779556
2579.07618,-672.329074,1391.773209
2576.838417,-672.3290762,1391.766862
2574.600654,-672.3290787,1391.760514
2572.362891,-672.3290814,1391.754165
2570.125129,-672.3290842,1391.747816
2567.887367,-672.3290872,1391.741467
2565.649605,-672.3290904,1391.735117
2563.411842,-672.3290937,1391.728766
2561.17408,-672.329097,1391.722415
2558.936317,-672.3291005,1391.716064
2556.698555,-672.329104,1391.709713
2554.460792,-672.3291075,1391.703361
2552.223028,-672.329111,1391.69701
2549.985264,-672.3291146,1391.690658
2547.7475,-672.329118,1391.684306
2545.509735,-672.3291214,1391.677954
2543.271969,-672.3291247,1391.671602
2541.034203,-672.3291278,1391.66525
2538.796435,-672.3291308,1391.658899
2536.558667,-672.3291337,1391.652547
2534.320898,-672.3291363,1391.646196
2532.083128,-672.3291387,1391.639846
2529.845357,-672.3291408,1391.633496
2527.607585,-672.3291426,1391.627146
2525.369812,-672.3291442,1391.620797
2523.132038,-672.3291454,1391.614448
2520.894263,-672.3291463,1391.6081
2518.656487,-672.3291469,1391.601753
2516.41871,-672.329147,1391.595407
2514.180931,-672.3291468,1391.589061
2511.943152,-672.3291462,1391.582716
2509.705371,-672.3291451,1391.576372
2507.46759,-672.3291436,1391.570029
2505.229808,-672.3291417,1391.563687
2502.992024,-672.3291393,1391.557347
2500.75424,-672.3291365,1391.551007
2498.516456,-672.3291333,1391.544668
2496.278671,-672.3291296,1391.538331
2494.040885,-672.3291254,1391.531994
2491.803099,-672.3291208,1391.525659
2489.565313,-672.3291158,1391.519325
2487.327527,-672.3291104,1391.512992
2485.08974,-672.3291045,1391.50666
2482.851955,-672.3290983,1391.50033
2480.61417,-672.3290917,1391.494001
2478.376385,-672.3290848,1391.487673
2476.138602,-672.3290776,1391.481346
2473.90082,-672.3290701,1391.47502
2471.66304,-672.3290624,1391.468696
2469.425261,-672.3290545,1391.462372
2467.187485,-672.3290464,1391.45605
2464.949711,-672.3290383,1391.449728
2462.712021,-672.3290301,1391.443408
2460.474175,-672.3290218,1391.437089
2458.236383,-672.3290135,1391.430771
2455.9985,-672.3290051,1391.424454
2453.760863,-672.3289966,1391.41814
2451.523089,-672.3289881,1391.411826
2449.285299,-672.3289794,1391.405515
2447.047544,-672.3289708,1391.399205
2444.809771,-672.328962,1391.392897
2442.571997,-672.3289533,1391.386591
2440.334221,-672.3289446,1391.380286
2438.096442,-672.3289358,1391.373984
2435.85866,-672.328927,1391.367683
2433.620874,-672.3289183,1391.361384
2431.383085,-672.3289096,1391.355087
2429.145295,-672.3289009,1391.348792
2426.907505,-672.3288923,1391.342499
2424.669721,-672.3288838,1391.336208
2422.431944,-672.3288753,1391.329919
