"MODEL_CLOSE_ST2"
	"2025-12-"	"9 14:57:02"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"req_KALKER_MID_G"	"User Result"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.TIME"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U1"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U2"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U3"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U4"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U5"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U6"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U7"	".MODEL_CLOSE_ST2.K294v078_2.req_KALKER_MID_G.U8"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-03	0.000000e+00	-2.553307e-01	0.000000e+00	5.856193e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-03	0.000000e+00	-1.510239e+00	9.955508e-08	2.634902e+01	0.000000e+00	-1.598721e-15	1.598721e-15	0.000000e+00
3.750000e-03	0.000000e+00	-2.863963e+00	-2.924624e-07	5.260299e+01	0.000000e+00	4.899426e-15	-2.731191e-15	0.000000e+00
4.000000e-03	0.000000e+00	-3.734578e+00	-1.050360e-06	6.422076e+01	0.000000e+00	-2.557954e-15	2.557954e-15	0.000000e+00
5.000000e-03	0.000000e+00	-7.880286e+00	1.000646e-06	1.130013e+02	0.000000e+00	-1.534772e-14	1.087130e-14	0.000000e+00
6.000000e-03	0.000000e+00	-1.060913e+01	5.632085e-07	1.713696e+02	0.000000e+00	-2.046363e-14	1.790568e-14	0.000000e+00
7.000000e-03	0.000000e+00	-1.340793e+01	5.899961e-06	2.414669e+02	0.000000e+00	7.418066e-14	-7.961631e-14	0.000000e+00
8.000000e-03	0.000000e+00	-1.998437e+01	-1.436644e-05	3.041184e+02	0.000000e+00	2.557954e-14	-2.046363e-14	0.000000e+00
9.000000e-03	0.000000e+00	-2.530406e+01	-8.883465e-06	3.570608e+02	0.000000e+00	-3.581135e-14	1.381295e-13	0.000000e+00
1.000000e-02	0.000000e+00	-2.973304e+01	-8.160438e-06	4.068609e+02	0.000000e+00	-5.627498e-14	-6.394885e-15	0.000000e+00
1.100000e-02	0.000000e+00	-3.313363e+01	6.847774e-06	4.640151e+02	0.000000e+00	-6.139089e-14	-7.673862e-15	0.000000e+00
1.129412e-02	0.000000e+00	-3.399202e+01	-1.135871e-05	4.825165e+02	0.000000e+00	-7.299761e-13	5.960032e-13	0.000000e+00
1.200000e-02	0.000000e+00	-3.616347e+01	-2.223644e-05	5.223675e+02	0.000000e+00	-3.453238e-13	2.353318e-13	0.000000e+00
1.300000e-02	0.000000e+00	-3.751642e+01	-1.731310e-05	5.510686e+02	0.000000e+00	-3.836931e-14	6.650680e-14	0.000000e+00
1.400000e-02	0.000000e+00	-3.674897e+01	-1.037559e-05	5.330964e+02	0.000000e+00	2.941647e-13	3.785772e-13	0.000000e+00
1.500000e-02	0.000000e+00	-3.377451e+01	-1.049249e-05	4.785153e+02	0.000000e+00	1.109033e-12	-3.248601e-13	0.000000e+00
1.600000e-02	0.000000e+00	-3.010550e+01	-5.516841e-06	4.136472e+02	0.000000e+00	1.227818e-13	-2.570744e-13	0.000000e+00
1.700000e-02	0.000000e+00	-2.511907e+01	-8.015784e-06	3.550834e+02	0.000000e+00	-8.185452e-14	1.087130e-13	0.000000e+00
1.800000e-02	0.000000e+00	-1.984980e+01	-1.355700e-05	3.028378e+02	0.000000e+00	6.650680e-14	-3.836931e-14	0.000000e+00
1.900000e-02	0.000000e+00	-1.479879e+01	1.114061e-05	2.547313e+02	0.000000e+00	5.115908e-14	-6.330936e-14	0.000000e+00
2.000000e-02	0.000000e+00	-1.212595e+01	8.861046e-08	2.072330e+02	0.000000e+00	1.010392e-13	-1.027978e-13	0.000000e+00
2.100000e-02	0.000000e+00	-9.869142e+00	2.594697e-07	1.622332e+02	0.000000e+00	-2.749800e-14	1.662670e-14	0.000000e+00
2.200000e-02	0.000000e+00	-8.494954e+00	9.687612e-07	1.211928e+02	0.000000e+00	-5.115908e-15	3.836931e-15	0.000000e+00
2.300000e-02	0.000000e+00	-5.962192e+00	-4.532760e-07	8.743935e+01	0.000000e+00	-1.278977e-14	8.313350e-15	0.000000e+00
2.400000e-02	0.000000e+00	-2.979652e+00	-1.089402e-06	5.583659e+01	0.000000e+00	-2.557954e-15	2.398082e-15	0.000000e+00
2.500000e-02	0.000000e+00	-1.896190e+00	2.745783e-08	3.264422e+01	0.000000e+00	-2.557954e-15	2.557954e-15	0.000000e+00
2.600000e-02	0.000000e+00	-9.328584e-01	-6.987249e-07	1.766037e+01	0.000000e+00	-7.993606e-16	7.993606e-16	0.000000e+00
2.700000e-02	0.000000e+00	-4.134659e-01	8.497581e-11	9.497785e+00	0.000000e+00	2.675360e-15	-2.675360e-15	0.000000e+00
2.800000e-02	0.000000e+00	-4.070358e-01	0.000000e+00	9.335660e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-02	0.000000e+00	-9.230684e-01	-6.456521e-07	1.754272e+01	0.000000e+00	-7.993606e-16	7.993606e-16	0.000000e+00
3.000000e-02	0.000000e+00	-2.005358e+00	1.549684e-08	3.442485e+01	0.000000e+00	-2.557954e-15	2.557954e-15	0.000000e+00
3.100000e-02	0.000000e+00	-3.674602e+00	-9.507998e-07	6.360720e+01	0.000000e+00	-2.557954e-15	3.836931e-15	0.000000e+00
3.200000e-02	0.000000e+00	-7.191879e+00	1.042796e-06	1.038271e+02	0.000000e+00	-5.115908e-15	5.755396e-15	0.000000e+00
3.300000e-02	0.000000e+00	-9.554755e+00	3.146112e-08	1.542126e+02	0.000000e+00	-1.918465e-15	7.673862e-15	0.000000e+00
3.400000e-02	0.000000e+00	-1.247893e+01	-2.277581e-07	2.213718e+02	0.000000e+00	1.048761e-13	-9.624301e-14	0.000000e+00
3.500000e-02	0.000000e+00	-1.910108e+01	-8.566178e-06	2.957119e+02	0.000000e+00	3.069545e-14	-4.860112e-14	0.000000e+00
3.600000e-02	0.000000e+00	-2.644983e+01	-1.513211e-05	3.693080e+02	0.000000e+00	-1.585931e-13	-8.824941e-14	0.000000e+00
3.700000e-02	0.000000e+00	-3.177894e+01	1.018725e-05	4.423129e+02	0.000000e+00	3.171863e-13	-2.276579e-13	0.000000e+00
3.800000e-02	0.000000e+00	-3.526388e+01	-1.686027e-05	5.058735e+02	0.000000e+00	-3.625900e-13	3.836931e-14	0.000000e+00
3.900000e-02	0.000000e+00	-3.704675e+01	-1.879434e-05	5.385518e+02	0.000000e+00	1.647322e-12	-4.092726e-14	0.000000e+00
3.940000e-02	0.000000e+00	-3.721133e+01	-3.556122e-05	5.416427e+02	0.000000e+00	3.196899e-13	1.919675e-13	0.000000e+00
4.000000e-02	0.000000e+00	-3.697106e+01	-1.252321e-05	5.371652e+02	0.000000e+00	3.466027e-13	-1.107594e-12	0.000000e+00
4.100000e-02	0.000000e+00	-3.552321e+01	-1.814728e-05	5.106299e+02	0.000000e+00	-4.348522e-13	6.215828e-13	0.000000e+00
4.200000e-02	0.000000e+00	-3.317967e+01	6.354445e-06	4.647360e+02	0.000000e+00	-1.023182e-14	-7.673862e-15	0.000000e+00
4.300000e-02	0.000000e+00	-2.994173e+01	-8.716456e-06	4.106858e+02	0.000000e+00	6.139089e-14	-9.080736e-14	0.000000e+00
4.400000e-02	0.000000e+00	-2.494068e+01	-7.214957e-06	3.531765e+02	0.000000e+00	-1.330136e-13	1.432454e-13	0.000000e+00
4.500000e-02	0.000000e+00	-1.890278e+01	-7.843235e-06	2.938243e+02	0.000000e+00	5.627498e-14	-5.307754e-14	0.000000e+00
4.600000e-02	0.000000e+00	-1.290581e+01	4.193059e-06	2.366037e+02	0.000000e+00	9.720225e-14	-9.016787e-14	0.000000e+00
4.700000e-02	0.000000e+00	-1.156062e+01	8.432731e-07	1.831172e+02	0.000000e+00	-2.685852e-14	1.918465e-14	0.000000e+00
4.800000e-02	0.000000e+00	-9.240722e+00	-2.683862e-07	1.413266e+02	0.000000e+00	1.055156e-14	-6.394885e-15	0.000000e+00
4.900000e-02	0.000000e+00	-7.338119e+00	1.028770e-06	1.057760e+02	0.000000e+00	-5.115908e-15	7.034373e-15	0.000000e+00
5.000000e-02	0.000000e+00	-4.715542e+00	1.680821e-06	7.424076e+01	0.000000e+00	-3.836931e-15	5.115908e-15	0.000000e+00
5.100000e-02	0.000000e+00	-2.664577e+00	3.591294e-07	4.649115e+01	0.000000e+00	-1.278977e-15	3.597123e-16	0.000000e+00
5.200000e-02	0.000000e+00	-1.714879e+00	4.732311e-08	2.968688e+01	0.000000e+00	-4.156675e-15	1.918465e-15	0.000000e+00
5.300000e-02	0.000000e+00	-1.106548e+00	1.003082e-08	1.976447e+01	0.000000e+00	-9.592327e-16	9.592327e-16	0.000000e+00
5.400000e-02	0.000000e+00	-8.963307e-01	-5.164288e-07	1.722141e+01	0.000000e+00	-7.993606e-16	7.993606e-16	0.000000e+00
5.500000e-02	0.000000e+00	-1.322207e+00	1.646284e-07	2.328205e+01	0.000000e+00	-1.278977e-15	1.278977e-15	0.000000e+00
5.600000e-02	0.000000e+00	-2.264329e+00	-1.287726e-08	3.864890e+01	0.000000e+00	-5.115908e-15	5.115908e-15	0.000000e+00
5.700000e-02	0.000000e+00	-4.078699e+00	-1.724898e-06	6.773884e+01	0.000000e+00	-5.115908e-15	3.836931e-15	0.000000e+00
5.800000e-02	0.000000e+00	-7.335687e+00	1.028897e-06	1.057436e+02	0.000000e+00	-7.673862e-15	1.087130e-14	0.000000e+00
5.900000e-02	0.000000e+00	-9.517746e+00	-2.443230e-08	1.527099e+02	0.000000e+00	1.470823e-14	0.000000e+00	0.000000e+00
6.000000e-02	0.000000e+00	-1.216284e+01	1.117780e-08	2.087452e+02	0.000000e+00	9.848122e-14	-9.560353e-14	0.000000e+00
6.075000e-02	0.000000e+00	-1.417757e+01	8.460584e-06	2.488080e+02	0.000000e+00	7.929517e-14	-7.641699e-14	0.000000e+00
6.100000e-02	0.000000e+00	-1.537922e+01	1.439571e-05	2.602641e+02	0.000000e+00	6.139089e-14	-6.970424e-14	0.000000e+00
6.200000e-02	0.000000e+00	-1.952296e+01	-1.175172e-05	2.997273e+02	0.000000e+00	7.162271e-14	-5.307754e-14	0.000000e+00
6.300000e-02	0.000000e+00	-2.352345e+01	9.340010e-06	3.380266e+02	0.000000e+00	0.000000e+00	-1.023182e-14	0.000000e+00
6.400000e-02	0.000000e+00	-2.732567e+01	-4.016576e-06	3.788369e+02	0.000000e+00	3.581135e-14	3.363709e-13	0.000000e+00
