TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,1.954772e+00,1.058177e+01,-9.778370e+03,0.000000e+00,1.954772e+00,1.058177e+01,-9.778370e+03
3.000000e-04,0.000000e+00,1.116552e+00,8.944276e+00,-9.775000e+03,0.000000e+00,1.116552e+00,8.944276e+00,-9.775000e+03
1.000000e-03,0.000000e+00,-6.415477e+00,-6.874639e+00,-9.740589e+03,0.000000e+00,-6.415477e+00,-6.874639e+00,-9.740589e+03
2.000000e-03,0.000000e+00,-3.680525e+01,-5.659556e+01,-9.524440e+03,0.000000e+00,-3.680525e+01,-5.659556e+01,-9.524440e+03
3.000000e-03,0.000000e+00,-8.522461e+01,-1.478565e+02,-8.709473e+03,0.000000e+00,-8.522461e+01,-1.478565e+02,-8.709473e+03
3.750000e-03,0.000000e+00,-1.374787e+02,-2.294901e+02,-7.718225e+03,0.000000e+00,-1.374787e+02,-2.294901e+02,-7.718225e+03
4.000000e-03,0.000000e+00,-1.611985e+02,-2.618276e+02,-7.291197e+03,0.000000e+00,-1.611985e+02,-2.618276e+02,-7.291197e+03
5.000000e-03,0.000000e+00,-2.524141e+02,-3.986218e+02,-5.467010e+03,0.000000e+00,-2.524141e+02,-3.986218e+02,-5.467010e+03
6.000000e-03,0.000000e+00,-4.428508e+02,-6.121919e+02,-3.155376e+03,0.000000e+00,-4.428508e+02,-6.121919e+02,-3.155376e+03
7.000000e-03,0.000000e+00,-5.788074e+02,-3.688062e+02,-2.677824e+02,0.000000e+00,-5.788074e+02,-3.688062e+02,-2.677824e+02
8.000000e-03,0.000000e+00,-6.163210e+02,-6.892310e+01,2.463359e+03,0.000000e+00,-6.163210e+02,-6.892310e+01,2.463359e+03
9.000000e-03,0.000000e+00,-9.113476e+02,1.694402e+02,4.930878e+03,0.000000e+00,-9.113476e+02,1.694402e+02,4.930878e+03
1.000000e-02,0.000000e+00,-8.660243e+02,7.942033e+02,7.476110e+03,0.000000e+00,-8.660243e+02,7.942033e+02,7.476110e+03
1.100000e-02,0.000000e+00,-1.464378e+03,1.567362e+03,1.003165e+04,0.000000e+00,-1.464378e+03,1.567362e+03,1.003165e+04
1.129412e-02,0.000000e+00,-8.348064e+02,1.234793e+03,1.081138e+04,0.000000e+00,-8.348064e+02,1.234793e+03,1.081138e+04
1.200000e-02,0.000000e+00,-1.639797e+03,1.646926e+02,1.245801e+04,0.000000e+00,-1.639797e+03,1.646926e+02,1.245801e+04
1.300000e-02,0.000000e+00,-2.807829e+03,-1.375331e+03,1.382479e+04,0.000000e+00,-2.807829e+03,-1.375331e+03,1.382479e+04
1.400000e-02,0.000000e+00,-2.060046e+03,-6.600005e+02,1.364768e+04,0.000000e+00,-2.060046e+03,-6.600005e+02,1.364768e+04
1.500000e-02,0.000000e+00,-9.689647e+02,5.628860e+02,1.197303e+04,0.000000e+00,-9.689647e+02,5.628860e+02,1.197303e+04
1.600000e-02,0.000000e+00,-9.070042e+02,6.527226e+02,9.343975e+03,0.000000e+00,-9.070042e+02,6.527226e+02,9.343975e+03
1.700000e-02,0.000000e+00,-9.998356e+02,6.442949e+02,6.413058e+03,0.000000e+00,-9.998356e+02,6.442949e+02,6.413058e+03
1.800000e-02,0.000000e+00,-7.459192e+02,4.916418e+02,3.493166e+03,0.000000e+00,-7.459192e+02,4.916418e+02,3.493166e+03
1.900000e-02,0.000000e+00,-5.863456e+02,4.150910e+02,7.656522e+02,0.000000e+00,-5.863456e+02,4.150910e+02,7.656522e+02
2.000000e-02,0.000000e+00,-4.943998e+02,2.219475e+02,-1.935408e+03,0.000000e+00,-4.943998e+02,2.219475e+02,-1.935408e+03
2.100000e-02,0.000000e+00,-3.508451e+02,-6.068996e+01,-4.235226e+03,0.000000e+00,-3.508451e+02,-6.068996e+01,-4.235226e+03
2.200000e-02,0.000000e+00,-3.366089e+02,-3.817346e+02,-5.986190e+03,0.000000e+00,-3.366089e+02,-3.817346e+02,-5.986190e+03
2.300000e-02,0.000000e+00,-2.993521e+02,-5.053371e+02,-7.375481e+03,0.000000e+00,-2.993521e+02,-5.053371e+02,-7.375481e+03
2.400000e-02,0.000000e+00,-2.439393e+02,-5.320948e+02,-8.420821e+03,0.000000e+00,-2.439393e+02,-5.320948e+02,-8.420821e+03
2.500000e-02,0.000000e+00,-1.971296e+02,-4.390046e+02,-9.067811e+03,0.000000e+00,-1.971296e+02,-4.390046e+02,-9.067811e+03
2.600000e-02,0.000000e+00,-1.395425e+02,-3.053772e+02,-9.400614e+03,0.000000e+00,-1.395425e+02,-3.053772e+02,-9.400614e+03
2.700000e-02,0.000000e+00,-1.028369e+02,-1.902141e+02,-9.538922e+03,0.000000e+00,-1.028369e+02,-1.902141e+02,-9.538922e+03
2.800000e-02,0.000000e+00,-3.060607e+01,-5.570202e+01,-9.456393e+03,0.000000e+00,-3.060607e+01,-5.570202e+01,-9.456393e+03
2.900000e-02,0.000000e+00,5.082741e+01,-4.657900e+00,-8.932928e+03,0.000000e+00,5.082741e+01,-4.657900e+00,-8.932928e+03
3.000000e-02,0.000000e+00,7.310509e+01,9.418403e+00,-8.041071e+03,0.000000e+00,7.310509e+01,9.418403e+00,-8.041071e+03
3.100000e-02,0.000000e+00,-7.941988e+01,-2.139813e+02,-6.712106e+03,0.000000e+00,-7.941988e+01,-2.139813e+02,-6.712106e+03
3.200000e-02,0.000000e+00,-3.203356e+02,-6.175847e+02,-4.977507e+03,0.000000e+00,-3.203356e+02,-6.175847e+02,-4.977507e+03
3.300000e-02,0.000000e+00,-2.302620e+02,-8.154272e+02,-2.744363e+03,0.000000e+00,-2.302620e+02,-8.154272e+02,-2.744363e+03
3.400000e-02,0.000000e+00,-5.131815e+02,-7.473012e+02,-7.859913e+01,0.000000e+00,-5.131815e+02,-7.473012e+02,-7.859913e+01
3.500000e-02,0.000000e+00,-6.728005e+02,-4.332086e+02,2.697958e+03,0.000000e+00,-6.728005e+02,-4.332086e+02,2.697958e+03
3.600000e-02,0.000000e+00,-1.116014e+03,1.822359e+01,5.396813e+03,0.000000e+00,-1.116014e+03,1.822359e+01,5.396813e+03
3.700000e-02,0.000000e+00,-1.386400e+03,-4.336183e+01,8.109928e+03,0.000000e+00,-1.386400e+03,-4.336183e+01,8.109928e+03
3.800000e-02,0.000000e+00,-2.506854e+03,-2.039532e+02,1.059354e+04,0.000000e+00,-2.506854e+03,-2.039532e+02,1.059354e+04
3.900000e-02,0.000000e+00,-2.327347e+03,3.009381e+02,1.238122e+04,0.000000e+00,-2.327347e+03,3.009381e+02,1.238122e+04
3.940000e-02,0.000000e+00,-2.109991e+03,9.271561e+02,1.280777e+04,0.000000e+00,-2.109991e+03,9.271561e+02,1.280777e+04
4.000000e-02,0.000000e+00,-1.453465e+03,1.549485e+03,1.314081e+04,0.000000e+00,-1.453465e+03,1.549485e+03,1.314081e+04
4.100000e-02,0.000000e+00,-1.096304e+03,1.449669e+03,1.281074e+04,0.000000e+00,-1.096304e+03,1.449669e+03,1.281074e+04
4.200000e-02,0.000000e+00,-1.148378e+03,9.418210e+02,1.138901e+04,0.000000e+00,-1.148378e+03,9.418210e+02,1.138901e+04
4.300000e-02,0.000000e+00,-1.063813e+03,7.333895e+02,9.082802e+03,0.000000e+00,-1.063813e+03,7.333895e+02,9.082802e+03
4.400000e-02,0.000000e+00,-8.493684e+02,5.843517e+02,6.196305e+03,0.000000e+00,-8.493684e+02,5.843517e+02,6.196305e+03
4.500000e-02,0.000000e+00,-8.137999e+02,4.126224e+02,3.102702e+03,0.000000e+00,-8.137999e+02,4.126224e+02,3.102702e+03
4.600000e-02,0.000000e+00,-6.362468e+02,2.398279e+02,1.276839e+02,0.000000e+00,-6.362468e+02,2.398279e+02,1.276839e+02
4.700000e-02,0.000000e+00,-4.696564e+02,-1.942137e+02,-2.715716e+03,0.000000e+00,-4.696564e+02,-1.942137e+02,-2.715716e+03
4.800000e-02,0.000000e+00,-8.867622e+02,-1.000219e+03,-4.896899e+03,0.000000e+00,-8.867622e+02,-1.000219e+03,-4.896899e+03
4.900000e-02,0.000000e+00,-5.296844e+02,-1.077206e+03,-6.462229e+03,0.000000e+00,-5.296844e+02,-1.077206e+03,-6.462229e+03
5.000000e-02,0.000000e+00,-4.884674e+02,-9.952504e+02,-7.717923e+03,0.000000e+00,-4.884674e+02,-9.952504e+02,-7.717923e+03
5.100000e-02,0.000000e+00,-2.197001e+02,-6.270113e+02,-8.592939e+03,0.000000e+00,-2.197001e+02,-6.270113e+02,-8.592939e+03
5.200000e-02,0.000000e+00,-1.623705e+02,-4.003050e+02,-9.070697e+03,0.000000e+00,-1.623705e+02,-4.003050e+02,-9.070697e+03
5.300000e-02,0.000000e+00,-1.125191e+02,-2.525623e+02,-9.264409e+03,0.000000e+00,-1.125191e+02,-2.525623e+02,-9.264409e+03
5.400000e-02,0.000000e+00,-6.711135e+01,-1.014460e+02,-9.175340e+03,0.000000e+00,-6.711135e+01,-1.014460e+02,-9.175340e+03
5.500000e-02,0.000000e+00,1.576185e+02,2.409211e+02,-8.740820e+03,0.000000e+00,1.576185e+02,2.409211e+02,-8.740820e+03
5.600000e-02,0.000000e+00,2.712603e+02,3.895101e+02,-7.921631e+03,0.000000e+00,2.712603e+02,3.895101e+02,-7.921631e+03
5.700000e-02,0.000000e+00,2.699728e+01,8.414420e+00,-6.671346e+03,0.000000e+00,2.699728e+01,8.414420e+00,-6.671346e+03
5.800000e-02,0.000000e+00,-2.158771e+02,-4.102321e+02,-5.080543e+03,0.000000e+00,-2.158771e+02,-4.102321e+02,-5.080543e+03
5.900000e-02,0.000000e+00,-4.691256e+02,-8.684766e+02,-3.099672e+03,0.000000e+00,-4.691256e+02,-8.684766e+02,-3.099672e+03
6.000000e-02,0.000000e+00,-4.732245e+02,-9.790772e+02,-9.515159e+02,0.000000e+00,-4.732245e+02,-9.790772e+02,-9.515159e+02
6.075000e-02,0.000000e+00,-4.772402e+02,-1.417531e+03,5.184925e+02,0.000000e+00,-4.772402e+02,-1.417531e+03,5.184925e+02
6.100000e-02,0.000000e+00,-4.857101e+02,-1.539749e+03,9.584381e+02,0.000000e+00,-4.857101e+02,-1.539749e+03,9.584381e+02
6.200000e-02,0.000000e+00,-7.501967e+02,-1.202214e+03,2.598819e+03,0.000000e+00,-7.501967e+02,-1.202214e+03,2.598819e+03
6.300000e-02,0.000000e+00,-1.272127e+03,-7.016816e+02,4.204722e+03,0.000000e+00,-1.272127e+03,-7.016816e+02,4.204722e+03
6.400000e-02,0.000000e+00,-1.946144e+03,2.573071e+02,6.055437e+03,0.000000e+00,-1.946144e+03,2.573071e+02,6.055437e+03
6.500000e-02,0.000000e+00,-2.086786e+03,1.518642e+03,8.128947e+03,0.000000e+00,-2.086786e+03,1.518642e+03,8.128947e+03
6.600000e-02,0.000000e+00,-1.478948e+03,1.582898e+03,1.023206e+04,0.000000e+00,-1.478948e+03,1.582898e+03,1.023206e+04
6.700000e-02,0.000000e+00,-1.243098e+03,1.301254e+03,1.179718e+04,0.000000e+00,-1.243098e+03,1.301254e+03,1.179718e+04
6.800000e-02,0.000000e+00,-1.127246e+03,9.655248e+02,1.203763e+04,0.000000e+00,-1.127246e+03,9.655248e+02,1.203763e+04
6.900000e-02,0.000000e+00,-1.157942e+03,8.284041e+02,1.070384e+04,0.000000e+00,-1.157942e+03,8.284041e+02,1.070384e+04
7.000000e-02,0.000000e+00,-1.104404e+03,1.452304e+03,8.099514e+03,0.000000e+00,-1.104404e+03,1.452304e+03,8.099514e+03
7.100000e-02,0.000000e+00,-8.786328e+02,1.916204e+03,5.000972e+03,0.000000e+00,-8.786328e+02,1.916204e+03,5.000972e+03
