TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-1.281884e-05,-4.977586e+00,-1.577235e-21,0.000000e+00,3.165297e+01,-8.151627e-05,4.195279e-01
3.000000e-04,0.000000e+00,-1.267202e-05,-4.920576e+00,-1.577235e-21,0.000000e+00,3.130384e+01,-8.061715e-05,4.148566e-01
1.000000e-03,0.000000e+00,-1.129630e-05,-4.386382e+00,-3.116001e-29,0.000000e+00,2.801799e+01,-7.215506e-05,3.709599e-01
2.000000e-03,0.000000e+00,-7.831476e-06,-3.040982e+00,3.235562e-29,0.000000e+00,1.961840e+01,-5.052351e-05,2.600815e-01
3.000000e-03,0.000000e+00,-4.067900e-06,-1.579576e+00,-3.470988e-27,0.000000e+00,1.029824e+01,-2.652118e-05,1.365273e-01
3.750000e-03,0.000000e+00,-1.368664e-06,-5.314557e-01,-1.577235e-21,0.000000e+00,3.491316e+00,-8.991228e-06,4.621237e-02
4.000000e-03,0.000000e+00,-5.804274e-07,-2.253814e-01,-5.704238e-19,0.000000e+00,1.483868e+00,-3.821424e-06,1.963835e-02
5.000000e-03,0.000000e+00,5.421011e-20,1.534808e-25,-1.945410e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.000000e-03,0.000000e+00,-1.615587e-27,3.231174e-26,1.345609e-25,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.000000e-03,0.000000e+00,-1.460486e-05,-5.671102e+00,4.708514e-29,0.000000e+00,3.587807e+01,-9.239723e-05,4.756555e-01
8.000000e-03,0.000000e+00,-7.568370e-05,-2.938817e+01,-3.665900e-25,0.000000e+00,1.701825e+02,-4.382730e-04,1.607789e+00
9.000000e-03,0.000000e+00,-1.102779e-04,-4.282117e+01,1.194291e-26,0.000000e+00,2.375997e+02,-6.118933e-04,3.150540e+00
1.000000e-02,0.000000e+00,-1.976416e-04,-7.674472e+01,1.307697e-23,0.000000e+00,3.885476e+02,-1.000631e-03,3.353875e+00
1.100000e-02,0.000000e+00,-1.390665e-04,-5.399985e+01,-8.509752e-24,0.000000e+00,2.909797e+02,-7.493634e-04,7.948167e+00
1.129412e-02,0.000000e+00,-2.317340e-04,-8.998288e+01,-1.577235e-21,0.000000e+00,4.317524e+02,-1.111897e-03,5.805525e+00
1.200000e-02,0.000000e+00,-1.837475e-04,-7.134962e+01,1.159626e-27,0.000000e+00,3.675895e+02,-9.466576e-04,5.007734e+00
1.300000e-02,0.000000e+00,-7.869704e-05,-3.055825e+01,-1.595496e-27,0.000000e+00,1.762738e+02,-4.539599e-04,2.356788e+00
1.400000e-02,0.000000e+00,-9.337219e-05,-3.625665e+01,-1.061171e-26,0.000000e+00,2.054239e+02,-5.290307e-04,2.556049e+00
1.500000e-02,0.000000e+00,-1.474648e-04,-5.726094e+01,-1.217034e-28,0.000000e+00,3.060607e+02,-7.882018e-04,4.065158e+00
