TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-2.166806e-03,0.000000e+00,4.969726e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-04,0.000000e+00,-1.119792e-02,0.000000e+00,2.568324e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,0.000000e+00,-1.029558e-01,0.000000e+00,2.361365e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-03,0.000000e+00,-3.751176e-01,0.000000e+00,8.603592e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-03,0.000000e+00,-1.908983e+00,2.605613e-08,3.285289e+01,0.000000e+00,-2.557954e-15,2.557954e-15,0.000000e+00
3.750000e-03,0.000000e+00,-3.381475e+00,-3.261193e-06,6.060655e+01,0.000000e+00,-5.115892e-15,1.598706e-15,0.000000e+00
4.000000e-03,0.000000e+00,-4.510847e+00,-2.811461e-06,7.215201e+01,0.000000e+00,-2.557954e-15,2.238210e-15,0.000000e+00
5.000000e-03,0.000000e+00,-8.561240e+00,9.653227e-07,1.220762e+02,0.000000e+00,-5.115908e-15,-1.278977e-14,0.000000e+00
6.000000e-03,0.000000e+00,-1.169948e+01,6.964835e-07,1.882933e+02,0.000000e+00,1.010392e-13,-1.268585e-13,0.000000e+00
7.000000e-03,0.000000e+00,-1.654557e+01,-7.304515e-06,2.713779e+02,0.000000e+00,4.348522e-14,-5.755396e-14,0.000000e+00
8.000000e-03,0.000000e+00,-2.457220e+01,-5.670470e-06,3.492377e+02,0.000000e+00,-1.381295e-13,2.238210e-13,0.000000e+00
9.000000e-03,0.000000e+00,-3.060914e+01,-8.236743e-06,4.225563e+02,0.000000e+00,-4.604317e-14,3.836931e-15,0.000000e+00
1.000000e-02,0.000000e+00,-3.495407e+01,-1.539932e-05,5.001891e+02,0.000000e+00,-4.501999e-13,1.381295e-13,0.000000e+00
1.100000e-02,0.000000e+00,-3.833914e+01,-2.153407e-06,5.778942e+02,0.000000e+00,-6.701839e-13,4.181455e-12,0.000000e+00
1.129412e-02,0.000000e+00,-3.932160e+01,3.036988e-05,6.017752e+02,0.000000e+00,-7.018935e-12,2.694587e-12,0.000000e+00
1.200000e-02,0.000000e+00,-4.144179e+01,9.925795e-06,6.565741e+02,0.000000e+00,-5.857714e-12,2.147722e-12,0.000000e+00
1.300000e-02,0.000000e+00,-4.504472e+01,-4.976493e-06,7.121855e+02,0.000000e+00,-3.990408e-12,3.732055e-12,0.000000e+00
1.400000e-02,0.000000e+00,-4.600776e+01,6.277197e-06,7.211910e+02,0.000000e+00,-2.680736e-12,4.563390e-12,0.000000e+00
1.500000e-02,0.000000e+00,-4.230480e+01,7.630475e-06,6.815966e+02,0.000000e+00,-4.988010e-12,5.415188e-12,0.000000e+00
