TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-1.040702e-05,-4.041072e+00,-2.649414e-20,0.000000e+00,2.587691e+01,-6.664113e-05,3.458261e-01
3.000000e-04,0.000000e+00,-1.039384e-05,-4.035954e+00,-2.649414e-20,0.000000e+00,2.584522e+01,-6.655951e-05,3.453583e-01
1.000000e-03,0.000000e+00,-1.022069e-05,-3.968719e+00,-9.525148e-21,0.000000e+00,2.542881e+01,-6.548711e-05,3.394475e-01
2.000000e-03,0.000000e+00,-9.326171e-06,-3.621375e+00,-1.707144e-29,0.000000e+00,2.326337e+01,-5.991044e-05,3.109479e-01
3.000000e-03,0.000000e+00,-8.181535e-06,-3.176910e+00,1.675768e-21,0.000000e+00,2.047227e+01,-5.272248e-05,2.736228e-01
3.750000e-03,0.000000e+00,-8.574744e-06,-3.329594e+00,-2.649414e-20,0.000000e+00,2.143259e+01,-5.519561e-05,2.862836e-01
4.000000e-03,0.000000e+00,-9.214771e-06,-3.578118e+00,6.740265e-19,0.000000e+00,2.299021e+01,-5.920697e-05,3.067589e-01
5.000000e-03,0.000000e+00,-1.513904e-05,-5.878526e+00,4.219712e-25,0.000000e+00,3.712509e+01,-9.560868e-05,4.717031e-01
6.000000e-03,0.000000e+00,-5.383515e-05,-2.090432e+01,3.779866e-21,0.000000e+00,1.242012e+02,-3.198569e-04,1.997197e+00
7.000000e-03,0.000000e+00,-8.136342e-05,-3.159362e+01,-5.383578e-20,0.000000e+00,1.817374e+02,-4.680306e-04,2.429401e+00
8.000000e-03,0.000000e+00,-1.211233e-04,-4.703246e+01,-3.978168e-21,0.000000e+00,2.580915e+02,-6.646661e-04,2.411002e+00
9.000000e-03,0.000000e+00,-2.214706e-04,-8.599759e+01,3.796406e-19,0.000000e+00,4.261046e+02,-1.097352e-03,5.696200e+00
1.000000e-02,0.000000e+00,-2.676055e-04,-1.039119e+02,1.201316e-20,0.000000e+00,4.893581e+02,-1.260250e-03,3.967660e+00
1.100000e-02,0.000000e+00,-3.673361e-04,-1.426375e+02,-2.164250e-20,0.000000e+00,6.019153e+02,-1.550120e-03,1.885631e+01
1.129412e-02,0.000000e+00,-2.297159e-04,-8.919927e+01,-2.649414e-20,0.000000e+00,4.377740e+02,-1.127405e-03,5.865216e+00
1.200000e-02,0.000000e+00,-2.470938e-04,-9.594712e+01,1.247327e-20,0.000000e+00,4.620627e+02,-1.189956e-03,6.355388e+00
