TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-2.171979e-01,3.715311e+00,-3.783749e-03,0.000000e+00,2.406538e+01,1.407554e+00,6.743633e-01
3.000000e-04,0.000000e+00,-2.145333e-01,3.669730e+00,-3.737329e-03,0.000000e+00,2.377773e+01,1.390730e+00,6.663392e-01
1.000000e-03,0.000000e+00,-1.892186e-01,3.236707e+00,-3.296329e-03,0.000000e+00,2.103510e+01,1.230318e+00,5.899831e-01
2.000000e-03,0.000000e+00,-1.232265e-01,2.107869e+00,-2.146697e-03,0.000000e+00,1.380794e+01,8.076095e-01,3.870152e-01
3.000000e-03,0.000000e+00,-5.723873e-02,9.791054e-01,-9.971411e-04,0.000000e+00,6.465371e+00,3.781517e-01,1.812516e-01
3.750000e-03,0.000000e+00,-2.086954e-02,3.569869e-01,-3.635628e-04,0.000000e+00,2.367459e+00,1.384698e-01,6.635679e-02
4.000000e-03,0.000000e+00,-1.390842e-02,2.379125e-01,-2.422950e-04,0.000000e+00,1.579107e+00,9.236001e-02,4.422917e-02
5.000000e-03,0.000000e+00,-2.029130e-03,3.501694e-02,-1.065726e-03,0.000000e+00,2.421123e-01,1.423762e-02,6.831363e-03
6.000000e-03,0.000000e+00,3.964114e-19,3.388132e-21,-3.691475e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.000000e-03,0.000000e+00,-3.176374e-20,-1.270549e-21,3.443718e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.000000e-03,0.000000e+00,9.491574e-27,-1.084202e-19,3.433123e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.000000e-03,0.000000e+00,-1.304431e-19,-3.155444e-30,3.559735e-29,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-02,0.000000e+00,0.000000e+00,-4.846761e-27,4.705398e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.100000e-02,0.000000e+00,4.038968e-25,3.252607e-19,-2.625329e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.129412e-02,0.000000e+00,3.307585e-01,-5.657838e+00,5.763459e-03,0.000000e+00,-3.125850e+00,-1.828273e-01,-8.771569e-02
1.200000e-02,0.000000e+00,2.940588e+00,-5.030065e+01,5.124550e-02,0.000000e+00,-6.748604e+01,-3.947484e+00,-2.191750e+00
1.300000e-02,0.000000e+00,5.976556e+00,-1.022328e+02,1.041597e-01,0.000000e+00,-1.907263e+02,-1.115669e+01,-6.651395e+00
1.400000e-02,0.000000e+00,3.410050e+00,-5.833108e+01,5.942756e-02,0.000000e+00,-8.283726e+01,-4.845918e+00,-3.170804e+00
1.500000e-02,0.000000e+00,1.975284e-01,-3.378851e+00,3.441928e-03,0.000000e+00,-1.580083e+00,-9.241795e-02,-4.507916e-02
1.600000e-02,0.000000e+00,-6.776264e-19,5.421011e-20,-2.066760e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.700000e-02,0.000000e+00,-2.039679e-26,-1.009742e-28,1.855401e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.800000e-02,0.000000e+00,2.029581e-26,-1.355253e-20,-8.724439e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-02,0.000000e+00,9.825583e-20,2.032879e-20,-1.259962e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
