TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-1.972152e-31,7.862043e+00,3.944305e-31,0.000000e+00,4.892263e+01,0.000000e+00,6.221865e-01
3.000000e-04,0.000000e+00,-1.972152e-31,7.817210e+00,3.944305e-31,0.000000e+00,4.866006e+01,0.000000e+00,6.188388e-01
1.000000e-03,0.000000e+00,-2.326510e-24,7.381318e+00,1.232595e-32,0.000000e+00,4.609633e+01,0.000000e+00,5.861927e-01
2.000000e-03,0.000000e+00,8.673684e-19,6.134337e+00,3.081488e-33,0.000000e+00,3.867064e+01,0.000000e+00,4.917361e-01
3.000000e-03,0.000000e+00,-7.987946e-25,4.673212e+00,1.058791e-22,0.000000e+00,2.978740e+01,0.000000e+00,3.788327e-01
3.750000e-03,0.000000e+00,-1.972152e-31,3.937976e+00,3.944305e-31,0.000000e+00,2.523756e+01,0.000000e+00,3.210059e-01
4.000000e-03,0.000000e+00,9.744383e-27,3.863706e+00,-1.419765e-28,0.000000e+00,2.477523e+01,0.000000e+00,3.151375e-01
5.000000e-03,0.000000e+00,-5.293958e-23,4.581420e+00,1.262177e-29,0.000000e+00,2.922898e+01,0.000000e+00,3.741040e-01
6.000000e-03,0.000000e+00,1.058791e-21,9.138128e+00,0.000000e+00,0.000000e+00,5.633691e+01,0.000000e+00,7.244354e-01
7.000000e-03,0.000000e+00,1.058791e-22,3.536444e+01,1.058791e-22,0.000000e+00,2.010057e+02,0.000000e+00,2.557871e+00
8.000000e-03,0.000000e+00,8.565729e-22,8.065865e+01,-6.310887e-30,0.000000e+00,4.054896e+02,0.000000e+00,5.163564e+00
9.000000e-03,0.000000e+00,1.588611e-22,1.316410e+02,-3.067913e-24,0.000000e+00,5.717930e+02,0.000000e+00,7.283293e+00
1.000000e-02,0.000000e+00,-7.268728e-24,2.002630e+02,1.355253e-20,0.000000e+00,7.329714e+02,0.000000e+00,9.211324e+00
1.100000e-02,0.000000e+00,2.019484e-28,2.538327e+02,5.048710e-29,0.000000e+00,8.987429e+02,0.000000e+00,1.098263e+01
1.129412e-02,0.000000e+00,-1.972152e-31,2.401216e+02,3.944305e-31,0.000000e+00,8.562574e+02,0.000000e+00,1.092609e+01
1.200000e-02,0.000000e+00,0.000000e+00,2.356889e+02,-7.888609e-31,0.000000e+00,8.424824e+02,0.000000e+00,1.075364e+01
1.300000e-02,0.000000e+00,-1.058791e-22,2.128580e+02,8.521442e-25,0.000000e+00,7.718152e+02,0.000000e+00,9.859351e+00
1.400000e-02,0.000000e+00,-4.235124e-22,1.975563e+02,1.270549e-21,0.000000e+00,7.253414e+02,0.000000e+00,9.260536e+00
1.500000e-02,0.000000e+00,6.390406e-24,1.921856e+02,-1.738677e-25,0.000000e+00,7.093368e+02,0.000000e+00,9.069020e+00
1.600000e-02,0.000000e+00,6.310887e-30,1.830941e+02,5.293956e-23,0.000000e+00,6.830555e+02,0.000000e+00,8.726620e+00
1.700000e-02,0.000000e+00,6.310887e-30,1.672739e+02,8.470329e-22,0.000000e+00,6.615755e+02,0.000000e+00,8.462531e+00
1.800000e-02,0.000000e+00,1.262177e-29,1.340392e+02,1.694066e-21,0.000000e+00,5.787040e+02,0.000000e+00,7.421425e+00
1.900000e-02,0.000000e+00,0.000000e+00,9.752138e+01,1.577722e-30,0.000000e+00,4.678244e+02,0.000000e+00,5.987460e+00
2.000000e-02,0.000000e+00,3.178964e-24,5.965441e+01,1.232595e-32,0.000000e+00,3.170427e+02,0.000000e+00,4.047685e+00
2.100000e-02,0.000000e+00,1.479114e-31,2.800101e+01,3.388132e-21,0.000000e+00,1.628553e+02,0.000000e+00,2.098277e+00
2.200000e-02,0.000000e+00,-2.117582e-22,8.927716e+00,8.455973e-22,0.000000e+00,5.509560e+01,0.000000e+00,7.043112e-01
2.300000e-02,0.000000e+00,-4.171523e-22,3.804956e+00,-1.577722e-30,0.000000e+00,2.440255e+01,0.000000e+00,3.098768e-01
2.400000e-02,0.000000e+00,0.000000e+00,1.994243e-01,1.693897e-21,0.000000e+00,1.313028e+00,0.000000e+00,1.653405e-02
2.500000e-02,0.000000e+00,1.058791e-22,2.117582e-22,-1.694066e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.600000e-02,0.000000e+00,4.771446e-24,-1.058791e-22,-4.235165e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.700000e-02,0.000000e+00,7.920684e-25,-7.888609e-31,1.577722e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-02,0.000000e+00,-2.646978e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.900000e-02,0.000000e+00,1.058791e-22,2.117582e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-02,0.000000e+00,-1.058791e-22,7.888609e-31,-3.308723e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.100000e-02,0.000000e+00,-1.386837e-22,4.235165e-22,8.470329e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.200000e-02,0.000000e+00,1.577722e-30,1.611581e+00,-5.082289e-21,0.000000e+00,1.051081e+01,0.000000e+00,1.340106e-01
3.300000e-02,0.000000e+00,-1.694066e-21,1.034881e+01,-1.694066e-21,0.000000e+00,6.350151e+01,0.000000e+00,8.138988e-01
3.400000e-02,0.000000e+00,-3.174961e-24,4.337969e+01,-8.083983e-25,0.000000e+00,2.402927e+02,0.000000e+00,3.062033e+00
3.500000e-02,0.000000e+00,1.009742e-28,9.447939e+01,2.524355e-29,0.000000e+00,4.570028e+02,0.000000e+00,5.866717e+00
3.600000e-02,0.000000e+00,-5.086560e-21,1.470416e+02,0.000000e+00,0.000000e+00,6.137123e+02,0.000000e+00,7.864703e+00
3.700000e-02,0.000000e+00,-1.191238e-22,1.839185e+02,4.898245e-19,0.000000e+00,6.853003e+02,0.000000e+00,8.727648e+00
3.800000e-02,0.000000e+00,1.058791e-22,2.367048e+02,-2.646978e-23,0.000000e+00,8.456354e+02,0.000000e+00,1.076927e+01
3.900000e-02,0.000000e+00,-8.673617e-19,2.600383e+02,-2.489580e-24,0.000000e+00,9.188874e+02,0.000000e+00,1.154498e+01
3.940000e-02,0.000000e+00,-1.972152e-31,2.594820e+02,3.944305e-31,0.000000e+00,9.168772e+02,0.000000e+00,1.168028e+01
4.000000e-02,0.000000e+00,-1.591621e-23,2.487261e+02,-4.930381e-32,0.000000e+00,8.831925e+02,0.000000e+00,1.126431e+01
4.100000e-02,0.000000e+00,5.293957e-23,2.108347e+02,0.000000e+00,0.000000e+00,7.657773e+02,0.000000e+00,9.742183e+00
4.200000e-02,0.000000e+00,4.235165e-22,1.753952e+02,1.082243e-24,0.000000e+00,6.648716e+02,0.000000e+00,8.462467e+00
4.300000e-02,0.000000e+00,-3.155444e-30,1.558963e+02,8.481057e-22,0.000000e+00,6.361207e+02,0.000000e+00,8.081980e+00
4.400000e-02,0.000000e+00,-3.299550e-24,1.377045e+02,-2.646991e-23,0.000000e+00,5.891866e+02,0.000000e+00,7.519860e+00
4.500000e-02,0.000000e+00,0.000000e+00,1.192371e+02,-1.270549e-21,0.000000e+00,5.365024e+02,0.000000e+00,6.859174e+00
4.600000e-02,0.000000e+00,1.058791e-22,9.830601e+01,-5.293956e-23,0.000000e+00,4.704876e+02,0.000000e+00,6.012522e+00
4.700000e-02,0.000000e+00,6.374792e-24,7.168809e+01,4.236996e-22,0.000000e+00,3.690459e+02,0.000000e+00,4.781351e+00
4.800000e-02,0.000000e+00,-1.706800e-21,4.110489e+01,1.712901e-25,0.000000e+00,2.293498e+02,0.000000e+00,2.955725e+00
