t,y,v
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.018349642202853359e-04,9.999999491333845247e-01,-9.990009990009992170e-04
1.120184606423138681e-03,9.999938451395251615e-01,-1.098901098901099160e-02
1.112018460642313911e-02,9.993934550296350583e-01,-1.090890109890109982e-01
2.112018460642314105e-02,9.978120649197449454e-01,-2.071890109890110188e-01
3.112018460642314299e-02,9.952496748098548229e-01,-3.052890109890110670e-01
4.112018460642314494e-02,9.917062846999646908e-01,-4.033890109890110875e-01
5.112018460642314688e-02,9.871818945900745490e-01,-5.014890109890111081e-01
6.112018460642314882e-02,9.816765044801843976e-01,-5.995890109890111841e-01
7.112018460642315076e-02,9.751901143702942365e-01,-6.976890109890112601e-01
8.112018460642314577e-02,9.677227242604041768e-01,-7.957890109890112251e-01
9.112018460642314077e-02,9.592743341505141075e-01,-8.938890109890111901e-01
1.011201846064231358e-01,9.498449440406240285e-01,-9.919890109890111551e-01
1.111201846064231308e-01,9.394345539307339399e-01,-1.090089010989011120e+00
1.211201846064231258e-01,9.280431638208438416e-01,-1.188189010989010974e+00
1.311201846064231347e-01,9.156707737109537337e-01,-1.286289010989011050e+00
1.411201846064231435e-01,9.023173836010636162e-01,-1.384389010989011126e+00
1.511201846064231524e-01,8.879829934911734890e-01,-1.482489010989011202e+00
1.611201846064231613e-01,8.726676033812833522e-01,-1.580589010989011278e+00
1.711201846064231702e-01,8.563712132713932057e-01,-1.678689010989011354e+00
1.811201846064231791e-01,8.390938231615030496e-01,-1.776789010989011430e+00
1.911201846064231880e-01,8.208354330516128838e-01,-1.874889010989011506e+00
2.011201846064231968e-01,8.015960429417227084e-01,-1.972989010989011582e+00
2.111201846064232057e-01,7.813756528318325234e-01,-2.071089010989011658e+00
2.211201846064232146e-01,7.601742627219423287e-01,-2.169189010989011734e+00
2.311201846064232235e-01,7.379918726120522354e-01,-2.267289010989011810e+00
2.411201846064232324e-01,7.148284825021621325e-01,-2.365389010989011886e+00
2.511201846064232135e-01,6.906840923922720199e-01,-2.463489010989011518e+00
2.611201846064232224e-01,6.655587022823818977e-01,-2.561589010989011594e+00
2.711201846064232313e-01,6.394523121724917658e-01,-2.659689010989011670e+00
2.811201846064232401e-01,6.123649220626016243e-01,-2.757789010989011746e+00
2.911201846064232490e-01,5.842965319527114731e-01,-2.855889010989011823e+00
3.011201846064232579e-01,5.552471418428213124e-01,-2.953989010989011899e+00
3.111201846064232668e-01,5.252167517329311419e-01,-3.052089010989011975e+00
3.211201846064232757e-01,4.942053616230410173e-01,-3.150189010989012051e+00
3.311201846064232845e-01,4.622129715131508831e-01,-3.248289010989012127e+00
3.411201846064232934e-01,4.292395814032607393e-01,-3.346389010989012203e+00
3.511201846064233023e-01,3.952851912933705858e-01,-3.444489010989012279e+00
3.611201846064233112e-01,3.603498011834804227e-01,-3.542589010989012355e+00
3.711201846064233201e-01,3.244334110735902499e-01,-3.640689010989012431e+00
3.811201846064233290e-01,2.875360209637000675e-01,-3.738789010989012507e+00
3.911201846064233378e-01,2.496576308538099032e-01,-3.836889010989012583e+00
4.011201846064233467e-01,2.107982407439197292e-01,-3.934989010989012659e+00
4.111201846064233556e-01,1.709578506340295456e-01,-4.033089010989012735e+00
4.211201846064233645e-01,1.301364605241393801e-01,-4.131189010989013255e+00
4.311201846064233734e-01,8.833407041424920503e-02,-4.229289010989013775e+00
