cm_X,cm_Y,cm_Z,t,LF_X,LF_Y,LF_Z,LR_X,LR_Y,LR_Z,MF_X,MF_Y,MF_Z,MR_X,MR_Y,MR_Z,U_X,U_Y,U_Z,MG_X,MG_Y,MG_Z,LG_X,LG_Y,LG_Z,MF_FY,MR_FY,MF_VY,MR_VY
2985.323,-1000.426,634.2662,0.0,2503.842,-808.9939,2.317443,2451.847,-808.9939,1.620216,3640.554,-788.9318,1015.92,3595.643,-791.474,1014.654,2607.896,-672.3291,1381.952,3618.647,-792.0654,999.6125,2478.16,-809.8562,-22.79789,28.43966,-38.80712,-28.25103,-26.82183
2980.398,-1000.543,634.271,0.01,2498.956,-808.9939,2.317201,2446.961,-808.9939,1.620415,3635.691,-789.2135,1015.92,3590.779,-791.7415,1014.654,2603.056,-672.3291,1381.949,3613.782,-792.3405,999.6125,2473.274,-809.8569,-22.79789,28.44632,-38.81869,-28.09057,-26.66604
2975.474,-1000.659,634.2758,0.02,2494.071,-808.9939,2.31696,2442.076,-808.9939,1.620613,3630.828,-789.4936,1015.92,3585.915,-792.0074,1014.654,2598.217,-672.3291,1381.946,3608.919,-792.614,999.6125,2468.388,-809.8576,-22.79789,28.45274,-38.82961,-27.93033,-26.51082
2970.55,-1000.774,634.2806,0.03,2489.187,-808.9939,2.31672,2437.191,-808.9939,1.62081,3625.966,-789.7721,1015.92,3581.052,-792.2717,1014.654,2593.379,-672.3291,1381.942,3604.056,-792.886,999.6125,2463.503,-809.8583,-22.79789,28.45905,-38.84017,-27.77051,-26.35615
2965.628,-1000.889,634.2853,0.04,2484.303,-808.9939,2.316481,2432.308,-808.9939,1.621007,3621.105,-790.0491,1015.92,3576.19,-792.5345,1014.654,2588.54,-672.3291,1381.939,3599.193,-793.1564,999.6125,2458.619,-809.859,-22.79789,28.46594,-38.85248,-27.61119,-26.20192
2960.707,-1001.003,634.2901,0.05,2479.42,-808.9939,2.316243,2427.424,-808.9939,1.621203,3616.244,-790.3244,1015.92,3571.328,-792.7957,1014.653,2583.703,-672.3291,1381.936,3594.331,-793.4252,999.6125,2453.736,-809.8596,-22.79789,28.47219,-38.86303,-27.45245,-26.04806
2955.786,-1001.116,634.2948,0.06,2474.537,-808.9939,2.316006,2422.542,-808.9939,1.621398,3611.383,-790.5981,1015.92,3566.467,-793.0554,1014.653,2578.865,-672.3291,1381.933,3589.47,-793.6924,999.6125,2448.853,-809.8603,-22.79789,28.4782,-38.87308,-27.29431,-25.89433
2950.866,-1001.229,634.2994,0.07,2469.656,-808.9939,2.31577,2417.66,-808.9939,1.621592,3606.524,-790.8703,1015.92,3561.607,-793.3136,1014.653,2574.028,-672.3291,1381.93,3584.609,-793.9581,999.6125,2443.971,-809.861,-22.79789,28.4839,-38.88243,-27.13682,-25.74074
2945.947,-1001.341,634.3041,0.08,2464.774,-808.9939,2.315535,2412.779,-808.9939,1.621785,3601.664,-791.1408,1015.92,3556.747,-793.5703,1014.653,2569.192,-672.3291,1381.927,3579.749,-794.2222,999.6125,2439.09,-809.8617,-22.79789,28.48943,-38.89153,-26.97995,-25.58719
2941.03,-1001.452,634.3087,0.09,2459.894,-808.9939,2.315301,2407.899,-808.9939,1.621978,3596.806,-791.4099,1015.92,3551.888,-793.8254,1014.653,2564.356,-672.3291,1381.924,3574.89,-794.4848,999.6125,2434.21,-809.8623,-22.79789,28.49439,-38.89939,-26.82365,-25.43355
