t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,2985.2452251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-3.876057330230431e-15,4.770986219318903e-15,3.6002280290003015e-16,-1.5114025132625208e-15,3.333280841266449e-33,-1.985245658514564e-15,-6.7232682322598345e-15,7.365273696516103e-33,0.028284271247436175,14.142135623730953,2.2436363058681298e-13
0.004,2985.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-5.918099057213645e-15,4.720162141789599e-15,-3.402918953983136e-15,-2.150674370579744e-15,2.119773545713367e-32,3.565532651270254e-15,-8.71655975938006e-15,3.4165651617466255e-32,0.05656854249487235,14.142135623730951,4.9607091388753175e-14
0.006,2985.2852251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-4.390190854293026e-15,7.410799560211254e-15,-4.003638845890756e-15,-3.3497122511523985e-15,1.914406075262893e-32,3.93480169121027e-15,-7.34344252627067e-15,2.8573463608739967e-32,0.08485281374230853,14.142135623730953,2.8974063694000726e-13
0.008,2985.3052251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-1.870526529752919e-15,6.704003199130996e-15,-2.575931536225149e-15,-3.8644111511209136e-15,4.007156544280784e-32,1.2697807300891955e-15,-2.3761518651869997e-15,1.028465839162331e-31,0.1131370849897447,14.14213562373095,1.9785773125348382e-13
0.01,2985.3252251856998,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-3.429454365218237e-15,5.147318837744937e-15,-1.647320819138572e-15,-4.041732378844401e-15,7.833196723096113e-32,-4.316420682236995e-16,-3.494254674129056e-15,1.1332835684278867e-31,0.14142135623718088,14.14213562373095,6.865724476858703e-14
0.012,2985.3452251856997,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-2.9068784880342e-15,3.889127305224431e-15,1.5635079438736496e-15,-5.521180509201945e-15,7.206299421511299e-32,-1.5633393733817838e-15,8.537991410217034e-16,9.999536681614934e-32,0.16970562748461707,14.142135623730951,5.99284320347172e-14
0.016,2985.3852251856997,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-1.325769620100961e-14,1.1834133750617275e-14,2.8763830430218586e-16,-6.958224257468192e-15,9.13475016976002e-32,1.7787278737261395e-15,-1.766273033412039e-14,-1.041370277050674e-31,0.2262741699794894,14.142135623730951,7.850001985273512e-14
0.02,2985.4252251856997,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-1.124276572743801e-14,1.2066235528004898e-14,-2.815557718685076e-15,-5.381451873019864e-15,9.091200412237004e-32,5.4835317446214815e-15,-1.8906350673426986e-14,-1.3938895658383384e-31,0.28284271247436177,14.142135623730951,1.0503203992071184e-13
0.024,2985.4652251856996,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.387735358554055e-15,9.813773109285677e-15,-2.712720212310516e-15,-5.872897395700886e-15,1.205474684500745e-31,7.436110579697116e-15,-1.2089202518641844e-14,1.1330203640047351e-32,0.33941125496923413,14.142135623730951,3.018467377857659e-14
0.028,2985.5052251856996,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-1.19102090303293e-14,1.2444901214568637e-14,-1.8677900050566153e-15,-6.823851629542854e-15,1.1610615373629393e-31,3.610697434916026e-15,-1.9094844810503427e-14,2.6015302413379833e-32,0.39597979746410644,14.142135623730951,1.1755567987461845e-13
