t,x1,y1,z1,x2,y2,z2,x3,y3,z3,x1d,y1d,z1d,x2d,y2d,z2d,x3d,y3d,z3d
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,2985.2452251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,1.46641520919399e-15,1.73427534985465e-15,-8.26429240758752e-16,-1.50655214246005e-15,5.62413769252939e-33,1.91900076408171e-15,1.76562647035786e-15,-3.46683385385843e-33
0.004,2985.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,3.01056697275372e-15,1.22316167858815e-15,-6.05580756859644e-15,-2.11769161455231e-15,1.3380357128642e-32,9.62942934608082e-15,4.28387843568641e-15,2.06464426535805e-33
0.006,2985.2852251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,2.31290776912166e-15,5.62927769314034e-16,-6.89646398747076e-15,-3.84269906181214e-15,1.26285955106922e-32,1.31830898044258e-14,5.4252565238941e-15,2.65125576067551e-34
0.008,2985.3052251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,2.86830411521606e-15,1.85142597953258e-16,-7.95839569356077e-15,-5.68626022961037e-15,1.29553497458985e-32,1.71227138489832e-14,8.23889239919356e-15,-5.06997674676196e-33
0.01,2985.3252251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-5.54257921158323e-16,4.03577351617386e-15,-6.8012390815063e-15,-4.47752395536553e-15,2.29850351594067e-32,1.31884582446337e-14,1.58699027811597e-16,-5.85343497673993e-32
0.012,2985.3452251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.23745313139331e-15,4.68790287198081e-15,-3.82138161399295e-15,-3.76595459950714e-15,2.17300791426457e-32,8.65787773895785e-15,-5.344018090645e-16,-5.94349686048351e-32
0.016,2985.3852251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-6.05223116855381e-15,7.80533821595762e-15,-9.80319516292055e-15,4.63354705368964e-16,9.03137099101112e-32,1.12073999659523e-14,-1.25104553179729e-14,-3.30292191225306e-33
0.02,2985.4252251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.73559501749915e-15,1.35495472551991e-15,-1.96974792742206e-14,3.6715203069917e-15,9.90504964257062e-32,1.99629010295265e-14,-1.17312842257739e-14,-7.77165005485391e-32
0.024,2985.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-4.52772122547229e-15,9.43322049906992e-16,-2.44381221967506e-14,4.73408879454207e-16,1.17959831441828e-31,2.84598864649341e-14,-8.38632464971246e-15,-1.20642857696595e-31
0.028,2985.5052251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-3.10776180556437e-15,1.10806422918936e-15,-3.06287445507157e-14,8.99556628975637e-16,1.04804665467265e-31,3.58615276946189e-14,-9.80474587711807e-15,-1.98942325362699e-31
0.032,2985.5452251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.1343800595895e-14,1.67508031353186e-15,-2.75048282177196e-14,-1.23707768301482e-15,9.55239268020292e-32,3.37042209925397e-14,-2.06148370500109e-14,-2.45822795636676e-31
0.036,2985.5852251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.54828362773356e-15,-1.74238908438084e-15,-3.39855871677519e-14,-6.63828744673863e-15,1.01032944333956e-31,4.9051581920925e-14,-9.48533265385168e-15,-3.21053131398078e-31
0.044,2985.6652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.69580541035366e-15,-8.37932768397843e-15,-3.25005948944285e-14,1.21651874606075e-15,3.1951733884651e-31,3.99541371186986e-14,-1.53945329800684e-14,3.68332465692369e-32
0.052,2985.7452251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.276907679874e-14,-8.02551288583537e-15,-4.96264941889915e-14,-4.81590654125327e-15,3.46725915909783e-31,6.67005157429906e-14,-1.625218928454e-14,1.36078986203305e-31
0.06,2985.8252251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.45813612854368e-14,2.2462069796092e-15,-5.85830483575197e-14,-8.91997269777314e-15,6.49729240499681e-31,7.35696748543072e-14,-2.02909226003675e-14,3.63896579630772e-31
0.068,2985.9052251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.07091901118107e-14,4.1826987423699e-15,-3.56534540479216e-14,-3.11756439744706e-15,5.12446025494804e-31,4.44890521192775e-14,-3.04214905666271e-14,-1.42653614771599e-30
0.076,2985.9852251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.80091309873341e-14,-1.01794147644148e-15,-3.64651118667296e-14,-6.07544310827976e-16,6.73687380911338e-31,4.19344058275726e-14,-2.36893812248376e-14,1.00859213307458e-30
0.084,2986.0652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.75369834054835e-14,1.10120440571347e-14,-5.18758236489874e-14,-1.46277849939343e-15,7.17403482933377e-31,6.50583592154321e-14,-4.59771677174266e-14,1.32104994517428e-30
0.094,2986.1652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.16602656188244e-14,1.30758305700252e-14,-3.00247239616131e-14,4.24689414023464e-15,1.86730829274562e-30,3.92158299113368e-14,-3.73767065420396e-14,-2.84130519430001e-30
0.104,2986.2652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-9.88410797972691e-15,9.93899564834007e-15,-3.91465129906102e-14,3.56443994036178e-15,1.6068909569924e-30,5.17165400652514e-14,-2.6643240135393e-14,-2.68178362088787e-30
0.114,2986.3652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.74317833886828e-14,1.21868174390426e-15,-5.67910789633048e-14,1.40211771734126e-14,1.89641390988687e-30,7.02059879120865e-14,-4.80225058702979e-14,-6.53965302457761e-31
0.124,2986.4652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.02154501437093e-14,5.1030886174343e-15,-6.87344912575726e-14,1.10138143467146e-14,1.36534286063395e-30,8.282052739611e-14,-5.87803356124443e-14,-1.91441617091903e-30
0.134,2986.5652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.11075989757001e-15,6.21740367040418e-16,-7.23071334412437e-14,8.82551510473823e-15,1.07504879606714e-30,9.67108756157374e-14,-3.79850767330689e-14,-3.35475865246681e-30
0.144,2986.6652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.22918395204027e-14,9.4432696430492e-15,-8.35165110906643e-14,1.61874055691805e-15,1.57483957846573e-30,1.14780791086185e-13,-4.67167828223007e-14,-6.50025617480137e-30
0.154,2986.7652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.08858489762636e-14,2.14936148609424e-14,-8.09680110397135e-14,-3.63955412450577e-15,1.19332403561131e-30,1.12483013145614e-13,-4.36979455215265e-14,-6.58940393863456e-30
0.164,2986.8652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.93022087520034e-14,2.76049936567298e-14,-7.78575271124394e-14,-2.25465259183358e-16,8.31741306752788e-31,9.95111703313584e-14,-6.09070316128155e-14,-1.03079699447911e-29
0.174,2986.9652251857,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-2.01121896120926e-14,3.55121005349781e-14,-8.29805180882219e-14,-3.28601510310218e-15,3.65019781110786e-31,1.08534868706249e-13,-6.50249615730416e-14,-1.11866446957751e-29
