TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-1.281884e-05,-4.977586e+00,2.969272e-27,0.000000e+00,3.165297e+01,-8.151627e-05,4.195279e-01
3.000000e-04,0.000000e+00,-1.267147e-05,-4.920365e+00,2.969272e-27,0.000000e+00,3.130255e+01,-8.061383e-05,4.148312e-01
1.000000e-03,0.000000e+00,-1.129058e-05,-4.384160e+00,-8.917826e-29,0.000000e+00,2.800426e+01,-7.211969e-05,3.707789e-01
2.000000e-03,0.000000e+00,-7.811493e-06,-3.033222e+00,3.654645e-30,0.000000e+00,1.956946e+01,-5.039745e-05,2.594481e-01
3.000000e-03,0.000000e+00,-4.030838e-06,-1.565184e+00,1.047706e-31,0.000000e+00,1.020548e+01,-2.628230e-05,1.352950e-01
3.750000e-03,0.000000e+00,-1.318683e-06,-5.120480e-01,2.969272e-27,0.000000e+00,3.364291e+00,-8.664098e-06,4.453607e-02
4.000000e-03,0.000000e+00,-5.269265e-07,-2.046069e-01,-6.704795e-20,0.000000e+00,1.347294e+00,-3.469702e-06,1.783088e-02
5.000000e-03,0.000000e+00,-3.231174e-27,4.065758e-19,-1.638440e-25,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.000000e-03,0.000000e+00,1.084202e-19,9.047288e-26,-7.181947e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.000000e-03,0.000000e+00,-1.433019e-05,-5.564447e+00,-7.271778e-19,0.000000e+00,3.523148e+01,-9.073205e-05,4.670845e-01
8.000000e-03,0.000000e+00,-7.508576e-05,-2.915599e+01,-2.602736e-25,0.000000e+00,1.689594e+02,-4.351231e-04,1.593825e+00
9.000000e-03,0.000000e+00,-1.098108e-04,-4.263981e+01,-5.291432e-27,0.000000e+00,2.367324e+02,-6.096597e-04,3.138694e+00
1.000000e-02,0.000000e+00,-1.980060e-04,-7.688622e+01,2.824652e-23,0.000000e+00,3.903881e+02,-1.005371e-03,3.244381e+00
1.100000e-02,0.000000e+00,-1.354155e-04,-5.258218e+01,5.795565e-24,0.000000e+00,2.843573e+02,-7.323088e-04,7.972691e+00
1.129412e-02,0.000000e+00,-2.345793e-04,-9.108771e+01,2.969272e-27,0.000000e+00,4.355811e+02,-1.121757e-03,5.854301e+00
1.200000e-02,0.000000e+00,-1.858050e-04,-7.214853e+01,-1.584348e-25,0.000000e+00,3.709244e+02,-9.552460e-04,4.938878e+00
1.300000e-02,0.000000e+00,-6.056330e-05,-2.351688e+01,-1.560860e-27,0.000000e+00,1.386358e+02,-3.570304e-04,2.024254e+00
1.400000e-02,0.000000e+00,-9.868032e-05,-3.831781e+01,2.197890e-27,0.000000e+00,2.156793e+02,-5.554415e-04,2.679849e+00
1.433333e-02,0.000000e+00,-1.291386e-04,-5.014484e+01,2.969272e-27,0.000000e+00,2.728897e+02,-7.027761e-04,3.276380e+00
1.500000e-02,0.000000e+00,-1.939200e-04,-7.529962e+01,3.742255e-24,0.000000e+00,3.805922e+02,-9.801437e-04,2.361872e+00
1.600000e-02,0.000000e+00,-1.207417e-04,-4.688432e+01,-4.227308e-27,0.000000e+00,2.572338e+02,-6.624572e-04,3.452153e+00
1.700000e-02,0.000000e+00,-1.209176e-04,-4.695260e+01,-5.872312e-25,0.000000e+00,2.576037e+02,-6.634098e-04,3.323738e+00
1.800000e-02,0.000000e+00,-1.163114e-04,-4.516400e+01,-1.969155e-26,0.000000e+00,2.489250e+02,-6.410595e-04,3.019299e+00
1.900000e-02,0.000000e+00,-6.927790e-05,-2.690078e+01,1.202895e-25,0.000000e+00,1.569930e+02,-4.043060e-04,2.142137e+00
2.000000e-02,0.000000e+00,-2.628986e-05,-1.020842e+01,-3.205105e-27,0.000000e+00,6.263656e+01,-1.613087e-04,8.505895e-01
2.100000e-02,0.000000e+00,-1.211742e-05,-4.705225e+00,-1.113637e-27,0.000000e+00,2.998377e+01,-7.721756e-05,3.817319e-01
2.200000e-02,0.000000e+00,1.009742e-28,1.549954e-26,-2.968046e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.300000e-02,0.000000e+00,8.077936e-28,9.128067e-26,-3.966738e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.400000e-02,0.000000e+00,-1.262177e-29,1.051646e-25,1.613221e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-02,0.000000e+00,2.019484e-28,1.171301e-26,6.036068e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.600000e-02,0.000000e+00,-1.694066e-20,1.141008e-26,-5.152445e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.700000e-02,0.000000e+00,7.444222e-24,-2.746498e-26,2.055772e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-02,0.000000e+00,-3.777098e-06,-1.466656e+00,-4.203529e-26,0.000000e+00,9.569492e+00,-2.464443e-05,1.180119e-01
2.900000e-02,0.000000e+00,-1.130417e-05,-4.389438e+00,-1.978907e-27,0.000000e+00,2.803107e+01,-7.218876e-05,3.265799e-01
3.000000e-02,0.000000e+00,-1.032301e-05,-4.008449e+00,7.960987e-27,0.000000e+00,2.566784e+01,-6.610269e-05,3.341137e-01
3.100000e-02,0.000000e+00,-9.047588e-06,-3.513201e+00,-1.717634e-25,0.000000e+00,2.257678e+01,-5.814225e-05,3.189727e-01
3.200000e-02,0.000000e+00,-1.295564e-05,-5.030707e+00,3.202775e-27,0.000000e+00,3.196639e+01,-8.232343e-05,5.219729e-01
3.300000e-02,0.000000e+00,-5.952139e-05,-2.311230e+01,-3.179543e-26,0.000000e+00,1.364062e+02,-3.512885e-04,1.195724e+00
3.400000e-02,0.000000e+00,-6.773699e-05,-2.630244e+01,-3.086418e-28,0.000000e+00,1.537885e+02,-3.960532e-04,2.038800e+00
3.500000e-02,0.000000e+00,-1.185518e-04,-4.603397e+01,4.673868e-24,0.000000e+00,2.532021e+02,-6.520743e-04,2.651907e+00
3.600000e-02,0.000000e+00,-1.129660e-04,-4.386497e+01,5.764920e-24,0.000000e+00,2.425868e+02,-6.247366e-04,4.905230e+00
3.700000e-02,0.000000e+00,-2.220691e-04,-8.622998e+01,3.474711e-25,0.000000e+00,4.187992e+02,-1.078539e-03,-3.568660e+00
3.800000e-02,0.000000e+00,-9.191336e-05,-3.569018e+01,2.871454e-28,0.000000e+00,2.025717e+02,-5.216854e-04,2.530978e+00
3.900000e-02,0.000000e+00,-1.921850e-04,-7.462590e+01,-2.960784e-25,0.000000e+00,3.811234e+02,-9.815117e-04,2.820367e+00
