TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-2.166806e-03,0.000000e+00,4.969726e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-04,0.000000e+00,-1.118673e-02,0.000000e+00,2.565757e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,0.000000e+00,-1.028304e-01,0.000000e+00,2.358488e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-03,0.000000e+00,-3.746509e-01,0.000000e+00,8.592887e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-03,0.000000e+00,-1.905333e+00,2.645606e-08,3.279335e+01,0.000000e+00,-1.918465e-15,1.918465e-15,0.000000e+00
3.750000e-03,0.000000e+00,-3.370217e+00,-3.195845e-06,6.049124e+01,0.000000e+00,-5.115892e-15,3.517153e-15,0.000000e+00
4.000000e-03,0.000000e+00,-4.498288e+00,-2.776394e-06,7.202382e+01,0.000000e+00,-5.115908e-15,5.435652e-15,0.000000e+00
5.000000e-03,0.000000e+00,-8.547868e+00,9.660164e-07,1.218980e+02,0.000000e+00,7.673862e-15,1.151079e-14,0.000000e+00
6.000000e-03,0.000000e+00,-1.169277e+01,7.072432e-07,1.879579e+02,0.000000e+00,1.304556e-13,-1.313150e-13,0.000000e+00
7.000000e-03,0.000000e+00,-1.650824e+01,-7.198318e-06,2.710222e+02,0.000000e+00,5.627498e-14,-2.685852e-14,0.000000e+00
8.000000e-03,0.000000e+00,-2.454127e+01,-5.547416e-06,3.489070e+02,0.000000e+00,-1.483613e-13,1.355716e-13,0.000000e+00
9.000000e-03,0.000000e+00,-3.059276e+01,-8.133071e-06,4.222709e+02,0.000000e+00,-5.115908e-15,2.557954e-14,0.000000e+00
1.000000e-02,0.000000e+00,-3.494753e+01,-1.536934e-05,5.000690e+02,0.000000e+00,-3.395684e-13,9.208634e-14,0.000000e+00
1.100000e-02,0.000000e+00,-3.833676e+01,-2.136394e-06,5.778349e+02,0.000000e+00,-5.512391e-12,7.817107e-12,0.000000e+00
1.129412e-02,0.000000e+00,-3.932009e+01,3.036808e-05,6.017393e+02,0.000000e+00,-4.681099e-12,4.363441e-12,0.000000e+00
1.200000e-02,0.000000e+00,-4.145300e+01,9.909619e-06,6.569042e+02,0.000000e+00,-2.690967e-12,4.334133e-12,0.000000e+00
1.300000e-02,0.000000e+00,-4.516219e+01,-5.149186e-06,7.132840e+02,0.000000e+00,-7.776180e-13,4.980336e-12,0.000000e+00
1.400000e-02,0.000000e+00,-4.600551e+01,6.274590e-06,7.211700e+02,0.000000e+00,-4.200160e-12,6.407674e-12,0.000000e+00
1.433333e-02,0.000000e+00,-4.507709e+01,-5.023801e-06,7.124883e+02,0.000000e+00,-3.736134e-12,6.187710e-12,0.000000e+00
