TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,2.644108e-01,-4.774392e+00,4.605204e-03,0.000000e+00,-2.485402e+00,-1.377117e-01,-7.004813e-02
3.000000e-04,0.000000e+00,2.659957e-01,-4.803011e+00,4.632809e-03,0.000000e+00,-2.505270e+00,-1.388126e-01,-7.065373e-02
1.000000e-03,0.000000e+00,2.811183e-01,-5.076075e+00,4.896197e-03,0.000000e+00,-2.697026e+00,-1.494381e-01,-7.670272e-02
2.000000e-03,0.000000e+00,3.212698e-01,-5.801079e+00,5.595509e-03,0.000000e+00,-3.237108e+00,-1.793626e-01,-9.146656e-02
3.000000e-03,0.000000e+00,3.614765e-01,-6.527081e+00,6.295785e-03,0.000000e+00,-3.823351e+00,-2.118451e-01,-1.078132e-01
3.750000e-03,0.000000e+00,3.796036e-01,-6.854398e+00,6.611502e-03,0.000000e+00,-4.097124e+00,-2.270143e-01,-1.154380e-01
4.000000e-03,0.000000e+00,3.807540e-01,-6.875169e+00,6.631537e-03,0.000000e+00,-4.114939e+00,-2.280017e-01,-1.162170e-01
5.000000e-03,0.000000e+00,3.590479e-01,-6.483229e+00,6.253486e-03,0.000000e+00,-3.795981e+00,-2.103474e-01,-1.264898e-01
6.000000e-03,0.000000e+00,2.743385e-01,-4.953654e+00,4.778114e-03,0.000000e+00,-2.624402e+00,-1.454292e-01,-9.027633e-02
7.000000e-03,0.000000e+00,1.268646e-01,-2.290759e+00,2.209582e-03,0.000000e+00,-9.807564e-01,-5.434198e-02,-2.765792e-02
8.000000e-03,0.000000e+00,1.353054e-26,5.421011e-20,-6.310887e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.000000e-03,0.000000e+00,-2.498747e-20,-1.972152e-31,1.058791e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-02,0.000000e+00,3.554292e-25,3.252607e-19,-5.759824e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.100000e-02,0.000000e+00,2.323358e-01,-4.195223e+00,4.046559e-03,0.000000e+00,-2.079935e+00,-1.152512e-01,-6.457683e-02
1.129412e-02,0.000000e+00,4.403943e-01,-7.952078e+00,7.670285e-03,0.000000e+00,-5.073212e+00,-2.810978e-01,-1.431568e-01
1.200000e-02,0.000000e+00,1.262282e+00,-2.279267e+01,2.198673e-02,0.000000e+00,-2.307522e+01,-1.278558e+00,-6.514030e-01
1.300000e-02,0.000000e+00,2.317339e+00,-4.184352e+01,4.036996e-02,0.000000e+00,-5.266685e+01,-2.918240e+00,-1.548357e+00
1.400000e-02,0.000000e+00,1.658513e+00,-2.994729e+01,2.889011e-02,0.000000e+00,-3.310603e+01,-1.834528e+00,-1.121031e+00
