TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,0.000000e+00,7.862043e+00,-7.888609e-31,0.000000e+00,4.892263e+01,0.000000e+00,6.221865e-01
3.000000e-04,0.000000e+00,0.000000e+00,7.817476e+00,-7.888609e-31,0.000000e+00,4.866161e+01,0.000000e+00,6.188712e-01
1.000000e-03,0.000000e+00,1.969726e-25,7.384384e+00,6.309963e-29,0.000000e+00,4.611442e+01,0.000000e+00,5.863919e-01
2.000000e-03,0.000000e+00,1.323489e-23,6.146184e+00,9.514447e-19,0.000000e+00,3.874185e+01,0.000000e+00,4.926552e-01
3.000000e-03,0.000000e+00,-2.264894e-31,4.699602e+00,0.000000e+00,0.000000e+00,2.994972e+01,0.000000e+00,3.809101e-01
3.750000e-03,0.000000e+00,0.000000e+00,3.977735e+00,-7.888609e-31,0.000000e+00,2.548487e+01,0.000000e+00,3.241447e-01
4.000000e-03,0.000000e+00,6.162976e-33,3.908512e+00,1.323489e-23,0.000000e+00,2.505425e+01,0.000000e+00,3.186798e-01
5.000000e-03,0.000000e+00,0.000000e+00,4.649176e+00,-4.235165e-22,0.000000e+00,2.964631e+01,0.000000e+00,3.794528e-01
6.000000e-03,0.000000e+00,8.470617e-22,9.230957e+00,3.385536e-21,0.000000e+00,5.686843e+01,0.000000e+00,7.313522e-01
7.000000e-03,0.000000e+00,0.000000e+00,3.565897e+01,-1.540744e-32,0.000000e+00,2.024910e+02,0.000000e+00,2.576724e+00
8.000000e-03,0.000000e+00,-3.169530e-24,8.107269e+01,-1.524127e-24,0.000000e+00,4.071135e+02,0.000000e+00,5.183865e+00
9.000000e-03,0.000000e+00,-1.058791e-22,1.321337e+02,-1.659767e-24,0.000000e+00,5.732273e+02,0.000000e+00,7.301454e+00
1.000000e-02,0.000000e+00,2.019484e-28,2.009228e+02,-6.776264e-21,0.000000e+00,7.349590e+02,0.000000e+00,9.235944e+00
1.100000e-02,0.000000e+00,-8.470331e-22,2.540155e+02,-3.388132e-21,0.000000e+00,8.993305e+02,0.000000e+00,1.098385e+01
1.129412e-02,0.000000e+00,0.000000e+00,2.403682e+02,-7.888609e-31,0.000000e+00,8.570272e+02,0.000000e+00,1.093591e+01
1.200000e-02,0.000000e+00,0.000000e+00,2.359096e+02,3.212999e-25,0.000000e+00,8.431386e+02,0.000000e+00,1.076366e+01
1.300000e-02,0.000000e+00,0.000000e+00,2.107363e+02,-1.694066e-21,0.000000e+00,7.653894e+02,0.000000e+00,9.766889e+00
1.400000e-02,0.000000e+00,2.065731e-26,1.972473e+02,-2.952312e-28,0.000000e+00,7.244184e+02,0.000000e+00,9.253144e+00
1.433333e-02,0.000000e+00,0.000000e+00,1.957825e+02,-7.888609e-31,0.000000e+00,7.200095e+02,0.000000e+00,9.198633e+00
1.500000e-02,0.000000e+00,-8.470329e-22,1.955026e+02,0.000000e+00,0.000000e+00,7.189592e+02,0.000000e+00,9.167173e+00
