TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,3.131104e+01,1.014238e+01,-9.778306e+03,0.000000e+00,3.131104e+01,1.014238e+01,-9.778306e+03
3.000000e-04,0.000000e+00,3.045697e+01,8.516632e+00,-9.774941e+03,0.000000e+00,3.045697e+01,8.516632e+00,-9.774941e+03
1.000000e-03,0.000000e+00,2.284050e+01,-7.307311e+00,-9.740580e+03,0.000000e+00,2.284050e+01,-7.307311e+00,-9.740580e+03
2.000000e-03,0.000000e+00,-7.745776e+00,-5.715200e+01,-9.524385e+03,0.000000e+00,-7.745776e+00,-5.715200e+01,-9.524385e+03
3.000000e-03,0.000000e+00,-5.642815e+01,-1.486754e+02,-8.709454e+03,0.000000e+00,-5.642815e+01,-1.486754e+02,-8.709454e+03
3.750000e-03,0.000000e+00,-1.088475e+02,-2.306062e+02,-7.718308e+03,0.000000e+00,-1.088475e+02,-2.306062e+02,-7.718308e+03
4.000000e-03,0.000000e+00,-1.326238e+02,-2.632074e+02,-7.291320e+03,0.000000e+00,-1.326238e+02,-2.632074e+02,-7.291320e+03
5.000000e-03,0.000000e+00,-2.235316e+02,-4.009917e+02,-5.467281e+03,0.000000e+00,-2.235316e+02,-4.009917e+02,-5.467281e+03
6.000000e-03,0.000000e+00,-4.130737e+02,-6.145498e+02,-3.157246e+03,0.000000e+00,-4.130737e+02,-6.145498e+02,-3.157246e+03
7.000000e-03,0.000000e+00,-5.512372e+02,-3.680500e+02,-2.686033e+02,0.000000e+00,-5.512372e+02,-3.680500e+02,-2.686033e+02
8.000000e-03,0.000000e+00,-5.892219e+02,-5.987335e+01,2.462788e+03,0.000000e+00,-5.892219e+02,-5.987335e+01,2.462788e+03
9.000000e-03,0.000000e+00,-8.848114e+02,1.818739e+02,4.930738e+03,0.000000e+00,-8.848114e+02,1.818739e+02,4.930738e+03
1.000000e-02,0.000000e+00,-8.408214e+02,8.076879e+02,7.479432e+03,0.000000e+00,-8.408214e+02,8.076879e+02,7.479432e+03
1.100000e-02,0.000000e+00,-1.465417e+03,1.581108e+03,1.003224e+04,0.000000e+00,-1.465417e+03,1.581108e+03,1.003224e+04
1.129412e-02,0.000000e+00,-7.965042e+02,1.248201e+03,1.081595e+04,0.000000e+00,-7.965042e+02,1.248201e+03,1.081595e+04
1.200000e-02,0.000000e+00,-1.606992e+03,1.816533e+02,1.246988e+04,0.000000e+00,-1.606992e+03,1.816533e+02,1.246988e+04
1.300000e-02,0.000000e+00,-2.967991e+03,-1.529400e+03,1.383328e+04,0.000000e+00,-2.967991e+03,-1.529400e+03,1.383328e+04
1.400000e-02,0.000000e+00,-2.026237e+03,-6.943157e+02,1.364600e+04,0.000000e+00,-2.026237e+03,-6.943157e+02,1.364600e+04
1.433333e-02,0.000000e+00,-1.472652e+03,-9.651915e+01,1.323268e+04,0.000000e+00,-1.472652e+03,-9.651915e+01,1.323268e+04
1.500000e-02,0.000000e+00,-6.474291e+02,6.666387e+02,1.200297e+04,0.000000e+00,-6.474291e+02,6.666387e+02,1.200297e+04
1.600000e-02,0.000000e+00,-1.039141e+03,6.616697e+02,9.317511e+03,0.000000e+00,-1.039141e+03,6.616697e+02,9.317511e+03
1.700000e-02,0.000000e+00,-9.392698e+02,6.276743e+02,6.382462e+03,0.000000e+00,-9.392698e+02,6.276743e+02,6.382462e+03
