TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-1.040702e-05,-4.041072e+00,-4.588015e-27,0.000000e+00,2.587691e+01,-6.664113e-05,3.458261e-01
3.000000e-04,0.000000e+00,-1.039358e-05,-4.035852e+00,-4.588015e-27,0.000000e+00,2.584459e+01,-6.655788e-05,3.453581e-01
1.000000e-03,0.000000e+00,-1.021767e-05,-3.967547e+00,2.634672e-29,0.000000e+00,2.542152e+01,-6.546834e-05,3.393213e-01
2.000000e-03,0.000000e+00,-9.313427e-06,-3.616427e+00,4.665530e-21,0.000000e+00,2.323243e+01,-5.983076e-05,3.105722e-01
3.000000e-03,0.000000e+00,-8.149610e-06,-3.164514e+00,-1.368892e-20,0.000000e+00,2.039424e+01,-5.252154e-05,2.725781e-01
3.750000e-03,0.000000e+00,-8.524535e-06,-3.310098e+00,-4.588015e-27,0.000000e+00,2.131015e+01,-5.488029e-05,2.846035e-01
4.000000e-03,0.000000e+00,-9.156738e-06,-3.555584e+00,2.583022e-21,0.000000e+00,2.284922e+01,-5.884387e-05,3.049098e-01
5.000000e-03,0.000000e+00,-1.504125e-05,-5.840553e+00,9.560071e-20,0.000000e+00,3.689580e+01,-9.501819e-05,4.685772e-01
6.000000e-03,0.000000e+00,-5.356605e-05,-2.079983e+01,3.878532e-22,0.000000e+00,1.236195e+02,-3.183588e-04,1.984331e+00
7.000000e-03,0.000000e+00,-8.130862e-05,-3.157234e+01,1.202481e-19,0.000000e+00,1.816270e+02,-4.677461e-04,2.427945e+00
8.000000e-03,0.000000e+00,-1.205038e-04,-4.679192e+01,5.901311e-26,0.000000e+00,2.569243e+02,-6.616602e-04,2.396259e+00
9.000000e-03,0.000000e+00,-2.204803e-04,-8.561305e+01,4.124621e-27,0.000000e+00,4.246471e+02,-1.093599e-03,5.676091e+00
1.000000e-02,0.000000e+00,-2.667296e-04,-1.035718e+02,-4.574484e-24,0.000000e+00,4.882392e+02,-1.257368e-03,3.921892e+00
1.100000e-02,0.000000e+00,-3.692623e-04,-1.433855e+02,-5.719037e-19,0.000000e+00,6.038844e+02,-1.555191e-03,1.953222e+01
1.129412e-02,0.000000e+00,-2.250252e-04,-8.737783e+01,-4.588015e-27,0.000000e+00,4.310087e+02,-1.109982e-03,5.774360e+00
1.200000e-02,0.000000e+00,-2.440054e-04,-9.474790e+01,2.445492e-21,0.000000e+00,4.578526e+02,-1.179113e-03,6.147060e+00
1.300000e-02,0.000000e+00,-3.251453e-04,-1.262547e+02,6.247269e-19,0.000000e+00,5.558423e+02,-1.431467e-03,8.422486e+00
1.400000e-02,0.000000e+00,-2.650321e-04,-1.029126e+02,1.492525e-27,0.000000e+00,4.859739e+02,-1.251534e-03,6.005273e+00
1.433333e-02,0.000000e+00,-2.368893e-04,-9.198471e+01,-4.588015e-27,0.000000e+00,4.480991e+02,-1.153995e-03,5.357751e+00
1.500000e-02,0.000000e+00,-1.932638e-04,-7.504482e+01,-1.222220e-20,0.000000e+00,3.830353e+02,-9.864354e-04,2.349982e+00
1.600000e-02,0.000000e+00,-2.783285e-04,-1.080757e+02,4.638784e-19,0.000000e+00,5.027378e+02,-1.294707e-03,6.810142e+00
1.700000e-02,0.000000e+00,-2.575500e-04,-1.000073e+02,1.213625e-20,0.000000e+00,4.763460e+02,-1.226740e-03,6.167895e+00
1.800000e-02,0.000000e+00,-1.872353e-04,-7.270393e+01,9.699376e-19,0.000000e+00,3.734594e+02,-9.617745e-04,4.538692e+00
1.900000e-02,0.000000e+00,-1.342049e-04,-5.211211e+01,4.895907e-26,0.000000e+00,2.823336e+02,-7.270970e-04,3.891156e+00
2.000000e-02,0.000000e+00,-7.531413e-05,-2.924466e+01,3.581504e-20,0.000000e+00,1.694532e+02,-4.363950e-04,2.322764e+00
2.100000e-02,0.000000e+00,-2.377580e-05,-9.232203e+00,-1.186361e-27,0.000000e+00,5.685150e+01,-1.464103e-04,7.289821e-01
2.200000e-02,0.000000e+00,-1.585300e-05,-6.155760e+00,5.280114e-22,0.000000e+00,3.880744e+01,-9.994125e-05,5.282861e-01
