TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-03,0.000000e+00,-2.557514e-01,0.000000e+00,5.865842e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-03,0.000000e+00,-1.513395e+00,9.845442e-08,2.640050e+01,0.000000e+00,-1.918465e-15,2.877698e-15,0.000000e+00
3.750000e-03,0.000000e+00,-2.867331e+00,-3.069267e-07,5.269873e+01,0.000000e+00,-2.557954e-15,5.716453e-15,0.000000e+00
4.000000e-03,0.000000e+00,-3.744816e+00,-1.067889e-06,6.432548e+01,0.000000e+00,-3.836931e-15,3.197442e-15,0.000000e+00
5.000000e-03,0.000000e+00,-7.890458e+00,1.000119e-06,1.131369e+02,0.000000e+00,-5.115908e-15,7.673862e-15,0.000000e+00
6.000000e-03,0.000000e+00,-1.062464e+01,5.694713e-07,1.715611e+02,0.000000e+00,-2.941647e-14,1.790568e-14,0.000000e+00
7.000000e-03,0.000000e+00,-1.343395e+01,5.973071e-06,2.417151e+02,0.000000e+00,7.673862e-14,-6.171064e-14,0.000000e+00
8.000000e-03,0.000000e+00,-2.000989e+01,-1.452447e-05,3.043612e+02,0.000000e+00,2.046363e-14,-3.389289e-14,0.000000e+00
9.000000e-03,0.000000e+00,-2.532420e+01,-8.980235e-06,3.572761e+02,0.000000e+00,1.023182e-14,1.291767e-13,0.000000e+00
1.000000e-02,0.000000e+00,-2.974357e+01,-8.185151e-06,4.070553e+02,0.000000e+00,6.650680e-14,-7.801759e-14,0.000000e+00
1.100000e-02,0.000000e+00,-3.314513e+01,6.725441e-06,4.641951e+02,0.000000e+00,-4.092726e-14,5.371703e-14,0.000000e+00
1.129412e-02,0.000000e+00,-3.400214e+01,-1.139753e-05,4.827027e+02,0.000000e+00,-4.329338e-13,4.348500e-14,0.000000e+00
1.200000e-02,0.000000e+00,-3.617620e+01,-2.231039e-05,5.226008e+02,0.000000e+00,-5.832135e-13,2.148681e-13,0.000000e+00
1.300000e-02,0.000000e+00,-3.752738e+01,-1.749780e-05,5.514249e+02,0.000000e+00,-6.139089e-14,6.139089e-14,0.000000e+00
1.400000e-02,0.000000e+00,-3.674354e+01,-1.035800e-05,5.329969e+02,0.000000e+00,-9.745804e-13,-1.422222e-12,0.000000e+00
1.433333e-02,0.000000e+00,-3.589480e+01,-2.009757e-05,5.174430e+02,0.000000e+00,-9.068474e-14,1.627918e-14,0.000000e+00
1.500000e-02,0.000000e+00,-3.373546e+01,-7.998214e-06,4.777966e+02,0.000000e+00,4.063949e-13,-5.218226e-13,0.000000e+00
1.600000e-02,0.000000e+00,-3.000280e+01,-5.078597e-06,4.117942e+02,0.000000e+00,3.581135e-14,8.952838e-14,0.000000e+00
1.700000e-02,0.000000e+00,-2.497047e+01,-7.346275e-06,3.534950e+02,0.000000e+00,-1.585931e-13,2.302158e-14,0.000000e+00
1.800000e-02,0.000000e+00,-1.974133e+01,-1.293321e-05,3.018055e+02,0.000000e+00,2.046363e-14,-4.156675e-14,0.000000e+00
1.900000e-02,0.000000e+00,-1.480198e+01,1.115658e-05,2.547617e+02,0.000000e+00,6.906475e-14,-6.618706e-14,0.000000e+00
2.000000e-02,0.000000e+00,-1.216767e+01,3.631999e-11,2.089422e+02,0.000000e+00,8.952838e-14,-1.050360e-13,0.000000e+00
2.100000e-02,0.000000e+00,-1.009846e+01,3.502596e-07,1.650646e+02,0.000000e+00,-7.673862e-15,2.302158e-14,0.000000e+00
2.200000e-02,0.000000e+00,-8.698417e+00,9.582068e-07,1.239043e+02,0.000000e+00,0.000000e+00,-2.557954e-15,0.000000e+00
2.300000e-02,0.000000e+00,-6.153634e+00,-6.151437e-07,8.999065e+01,0.000000e+00,-5.115908e-15,5.115908e-15,0.000000e+00
2.400000e-02,0.000000e+00,-3.095808e+00,-1.802953e-06,5.767877e+01,0.000000e+00,-3.836931e-15,-2.078338e-15,0.000000e+00
2.500000e-02,0.000000e+00,-1.930834e+00,2.366205e-08,3.320930e+01,0.000000e+00,-2.557954e-15,2.557954e-15,0.000000e+00
2.600000e-02,0.000000e+00,-8.968508e-01,-5.187341e-07,1.722766e+01,0.000000e+00,-7.993606e-16,7.993606e-16,0.000000e+00
2.700000e-02,0.000000e+00,-3.858987e-01,0.000000e+00,8.850865e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-02,0.000000e+00,-3.599874e-01,0.000000e+00,8.256571e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.900000e-02,0.000000e+00,-5.714069e-01,4.505756e-07,1.327430e+01,0.000000e+00,1.918465e-15,-1.918465e-15,0.000000e+00
3.000000e-02,0.000000e+00,-1.673206e+00,5.188896e-08,2.900716e+01,0.000000e+00,-1.918465e-15,1.918465e-15,0.000000e+00
3.100000e-02,0.000000e+00,-2.988960e+00,-1.256209e-06,5.609355e+01,0.000000e+00,-2.557954e-15,9.592327e-16,0.000000e+00
3.200000e-02,0.000000e+00,-6.712351e+00,1.092226e-06,9.743653e+01,0.000000e+00,-7.673862e-15,1.151079e-14,0.000000e+00
3.300000e-02,0.000000e+00,-9.441321e+00,-2.650556e-07,1.495958e+02,0.000000e+00,1.918465e-14,-1.534772e-14,0.000000e+00
3.400000e-02,0.000000e+00,-1.249690e+01,-6.543969e-08,2.220777e+02,0.000000e+00,9.464429e-14,-8.697043e-14,0.000000e+00
3.500000e-02,0.000000e+00,-1.985517e+01,-1.358854e-05,3.028889e+02,0.000000e+00,1.023182e-14,-2.685852e-14,0.000000e+00
3.600000e-02,0.000000e+00,-2.746907e+01,-4.493197e-06,3.804126e+02,0.000000e+00,-1.023182e-13,2.174261e-14,0.000000e+00
3.700000e-02,0.000000e+00,-3.253106e+01,1.183652e-05,4.544878e+02,0.000000e+00,3.069545e-14,-2.557954e-15,0.000000e+00
3.800000e-02,0.000000e+00,-3.571941e+01,-1.916109e-05,5.142275e+02,0.000000e+00,-3.613110e-13,4.092726e-13,0.000000e+00
3.860000e-02,0.000000e+00,-3.701685e+01,-2.147708e-05,5.380042e+02,0.000000e+00,1.236665e-12,-1.115265e-12,0.000000e+00
3.900000e-02,0.000000e+00,-3.740145e+01,-3.047927e-05,5.473364e+02,0.000000e+00,-3.581135e-14,2.046363e-14,0.000000e+00
4.000000e-02,0.000000e+00,-3.742608e+01,-3.110632e-05,5.481361e+02,0.000000e+00,-9.976020e-14,5.627498e-14,0.000000e+00
4.100000e-02,0.000000e+00,-3.601223e+01,-2.074080e-05,5.195955e+02,0.000000e+00,-3.696243e-13,8.415668e-13,0.000000e+00
4.200000e-02,0.000000e+00,-3.327504e+01,2.574123e-06,4.666442e+02,0.000000e+00,-3.006195e-13,2.634692e-13,0.000000e+00
4.300000e-02,0.000000e+00,-2.970701e+01,-8.100683e-06,4.063796e+02,0.000000e+00,2.046363e-13,-1.470823e-13,0.000000e+00
4.400000e-02,0.000000e+00,-2.390381e+01,1.075771e-05,3.420926e+02,0.000000e+00,6.650680e-14,-7.673862e-14,0.000000e+00
4.500000e-02,0.000000e+00,-1.704855e+01,8.680244e-06,2.761689e+02,0.000000e+00,5.883294e-14,-5.051959e-14,0.000000e+00
4.600000e-02,0.000000e+00,-1.234261e+01,-5.829446e-07,2.159837e+02,0.000000e+00,1.048761e-13,-1.002398e-13,0.000000e+00
4.700000e-02,0.000000e+00,-1.008499e+01,3.447851e-07,1.648983e+02,0.000000e+00,-1.406875e-14,2.302158e-14,0.000000e+00
4.800000e-02,0.000000e+00,-8.690388e+00,9.586234e-07,1.237973e+02,0.000000e+00,-2.557954e-15,1.790568e-14,0.000000e+00
4.900000e-02,0.000000e+00,-6.495788e+00,-8.362071e-07,9.455044e+01,0.000000e+00,-1.278977e-14,7.673862e-15,0.000000e+00
5.000000e-02,0.000000e+00,-4.332201e+00,-2.331603e-06,7.032824e+01,0.000000e+00,-8.952838e-15,4.796163e-15,0.000000e+00
5.100000e-02,0.000000e+00,-2.822567e+00,-1.320821e-06,5.141354e+01,0.000000e+00,-6.394885e-16,-2.398082e-16,0.000000e+00
5.200000e-02,0.000000e+00,-2.348605e+00,-2.211098e-08,4.002352e+01,0.000000e+00,-2.557954e-15,5.115908e-15,0.000000e+00
5.300000e-02,0.000000e+00,-2.101620e+00,4.949948e-09,3.599497e+01,0.000000e+00,-2.557954e-15,2.557954e-15,0.000000e+00
5.400000e-02,0.000000e+00,-2.270751e+00,-1.358090e-08,3.875365e+01,0.000000e+00,-2.557954e-15,2.557954e-15,0.000000e+00
5.500000e-02,0.000000e+00,-2.770170e+00,-4.494163e-07,4.986464e+01,0.000000e+00,-6.394885e-16,8.792966e-16,0.000000e+00
5.600000e-02,0.000000e+00,-4.317277e+00,-2.293415e-06,7.017584e+01,0.000000e+00,-5.115908e-15,4.796163e-15,0.000000e+00
5.700000e-02,0.000000e+00,-6.551418e+00,1.108816e-06,9.529183e+01,0.000000e+00,-7.673862e-15,8.952838e-15,0.000000e+00
5.800000e-02,0.000000e+00,-8.590252e+00,9.638178e-07,1.224628e+02,0.000000e+00,5.115908e-15,7.673862e-15,0.000000e+00
5.900000e-02,0.000000e+00,-9.534512e+00,9.698516e-07,1.565176e+02,0.000000e+00,4.476419e-15,-7.673862e-15,0.000000e+00
6.000000e-02,0.000000e+00,-1.176619e+01,6.017876e-07,1.915354e+02,0.000000e+00,1.125500e-13,-1.187850e-13,0.000000e+00
6.066667e-02,0.000000e+00,-1.234177e+01,-5.792342e-07,2.159503e+02,0.000000e+00,1.023298e-13,-9.512037e-14,0.000000e+00
6.100000e-02,0.000000e+00,-1.262977e+01,3.857356e-06,2.269922e+02,0.000000e+00,1.023182e-13,-9.816148e-14,0.000000e+00
6.200000e-02,0.000000e+00,-1.485575e+01,1.142865e-05,2.552743e+02,0.000000e+00,7.162271e-14,-8.473222e-14,0.000000e+00
6.300000e-02,0.000000e+00,-1.800197e+01,1.390533e-05,2.852484e+02,0.000000e+00,3.836931e-14,-4.220624e-14,0.000000e+00
6.400000e-02,0.000000e+00,-2.300343e+01,1.014502e-05,3.328378e+02,0.000000e+00,4.604317e-14,-2.685852e-14,0.000000e+00
6.500000e-02,0.000000e+00,-2.922014e+01,-7.159529e-06,3.996526e+02,0.000000e+00,-1.074341e-13,6.266987e-14,0.000000e+00
6.600000e-02,0.000000e+00,-3.381714e+01,-1.067775e-05,4.792997e+02,0.000000e+00,4.182255e-13,-4.553158e-13,0.000000e+00
6.700000e-02,0.000000e+00,-3.701619e+01,-2.147202e-05,5.379921e+02,0.000000e+00,5.793765e-13,5.371703e-14,0.000000e+00
6.800000e-02,0.000000e+00,-3.736030e+01,-2.943849e-05,5.460017e+02,0.000000e+00,-7.673862e-15,0.000000e+00,0.000000e+00
6.850000e-02,0.000000e+00,-3.655517e+01,-1.210743e-05,5.295457e+02,0.000000e+00,2.665084e-13,-1.871753e-12,0.000000e+00
