TIME,U1,U2,U3,U4,U5,U6,U7,U8
0.000000e+00,0.000000e+00,-2.171979e-01,3.715311e+00,-3.783749e-03,0.000000e+00,2.406538e+01,1.407554e+00,6.743633e-01
3.000000e-04,0.000000e+00,-2.145169e-01,3.669451e+00,-3.737044e-03,0.000000e+00,2.377601e+01,1.390630e+00,6.661811e-01
1.000000e-03,0.000000e+00,-1.889909e-01,3.232811e+00,-3.292361e-03,0.000000e+00,2.101040e+01,1.228873e+00,5.891839e-01
2.000000e-03,0.000000e+00,-1.224364e-01,2.094353e+00,-2.132932e-03,0.000000e+00,1.372073e+01,8.025085e-01,3.845006e-01
3.000000e-03,0.000000e+00,-5.585162e-02,9.553781e-01,-9.729767e-04,0.000000e+00,6.309761e+00,3.690502e-01,1.768295e-01
3.750000e-03,0.000000e+00,-1.911972e-02,3.270551e-01,-3.330797e-04,0.000000e+00,2.169405e+00,1.268859e-01,6.081279e-02
4.000000e-03,0.000000e+00,-1.181411e-02,2.020880e-01,-2.058106e-04,0.000000e+00,1.341537e+00,7.846514e-02,3.785915e-02
5.000000e-03,0.000000e+00,9.994989e-20,-1.694066e-21,3.281661e-28,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.000000e-03,0.000000e+00,4.102077e-29,-1.016440e-20,5.533243e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.000000e-03,0.000000e+00,7.369187e-20,4.930381e-32,-5.521596e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.000000e-03,0.000000e+00,-4.038968e-28,2.019484e-28,-2.145702e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.000000e-03,0.000000e+00,-8.519698e-29,0.000000e+00,1.074144e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-02,0.000000e+00,-7.754818e-26,-1.084202e-19,-8.825145e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.100000e-02,0.000000e+00,5.492996e-26,1.615587e-27,1.070326e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.129412e-02,0.000000e+00,3.336056e-01,-5.706539e+00,5.813069e-03,0.000000e+00,-3.163133e+00,-1.850079e-01,-8.875285e-02
1.200000e-02,0.000000e+00,2.921317e+00,-4.997101e+01,5.090964e-02,0.000000e+00,-6.687405e+01,-3.911772e+00,-2.255402e+00
1.300000e-02,0.000000e+00,6.238816e+00,-1.067189e+02,1.087308e-01,0.000000e+00,-2.040453e+02,-1.193542e+01,-6.750022e+00
1.400000e-02,0.000000e+00,3.489836e+00,-5.969587e+01,6.081812e-02,0.000000e+00,-8.560325e+01,-5.007624e+00,-3.177382e+00
1.433333e-02,0.000000e+00,1.906501e+00,-3.261193e+01,3.322312e-02,0.000000e+00,-3.684936e+01,-2.155597e+00,-1.349338e+00
1.500000e-02,0.000000e+00,-4.685203e-26,-4.336809e-19,-1.464126e-26,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.600000e-02,0.000000e+00,-1.893266e-29,0.000000e+00,4.155755e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.700000e-02,0.000000e+00,4.240916e-27,0.000000e+00,5.906990e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.800000e-02,0.000000e+00,-1.832590e-01,3.162319e+00,-9.557097e-02,0.000000e+00,2.106877e+01,1.238813e+00,5.910008e-01
1.900000e-02,0.000000e+00,-2.683556e-01,4.630804e+00,-1.401391e-01,0.000000e+00,3.064488e+01,1.801841e+00,8.580351e-01
2.000000e-02,0.000000e+00,-1.320504e-01,2.278724e+00,-6.907076e-02,0.000000e+00,1.538079e+01,9.043479e-01,4.302807e-01
2.100000e-02,0.000000e+00,4.338735e-30,-1.694066e-21,-8.159045e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.200000e-02,0.000000e+00,1.202787e-19,-1.694066e-21,-9.624103e-29,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.300000e-02,0.000000e+00,-5.995343e-28,3.388132e-21,-6.752649e-28,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.400000e-02,0.000000e+00,-2.145702e-28,3.388132e-21,1.664420e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-02,0.000000e+00,-5.387130e-19,1.355253e-20,8.184456e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.600000e-02,0.000000e+00,-2.473336e-19,-1.355253e-20,-9.781875e-29,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.700000e-02,0.000000e+00,-3.303428e-20,6.776264e-21,7.699282e-28,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-02,0.000000e+00,1.016440e-20,3.388132e-21,1.808069e-27,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.900000e-02,0.000000e+00,-3.298007e-01,5.641453e+00,-5.745372e-03,0.000000e+00,3.603500e+01,2.107688e+00,1.053881e+00
3.000000e-02,0.000000e+00,-6.443453e-01,1.102194e+01,-1.122497e-02,0.000000e+00,6.819930e+01,3.989028e+00,2.043418e+00
3.100000e-02,0.000000e+00,-7.030504e-01,1.202613e+01,-1.224766e-02,0.000000e+00,7.421351e+01,4.340763e+00,2.183865e+00
3.200000e-02,0.000000e+00,-4.191125e-01,7.236824e+00,-2.340374e-01,0.000000e+00,4.784061e+01,2.814788e+00,1.365268e+00
