Solver,autodiff,linsolve,abstol,reltol,initial_state,tspan,ΔE,Avg Time (s),All Times
FBDF_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",4.613637504771728e-5,0.00301972,"[0.0035792, 0.0028533, 0.0028913, 0.0031086, 0.0030906, 0.0031208, 0.0028466, 0.0029229, 0.0029271, 0.0028568]"
Rodas5P_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-4.931357172333062e-7,0.0011928300000000002,"[0.0012374, 0.0011278, 0.0011559, 0.0011707, 0.0011653, 0.0011423, 0.0012319, 0.0011347, 0.0012718, 0.0012905]"
Rodas3_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",3.734274159966633e-5,0.004331009999999999,"[0.0046009, 0.0041758, 0.0045032, 0.0046259, 0.0043602, 0.0041651, 0.0045208, 0.0040804, 0.0041822, 0.0040956]"
RadauIIA5_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",8.269698655527513e-6,0.00108601,"[0.001165, 0.0010326, 0.0010478, 0.0011298, 0.0010673, 0.0011492, 0.0010709, 0.0010571, 0.0010415, 0.0010989]"
Kvaerno5_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.0012901375627017986,0.0020697999999999997,"[0.0020171, 0.0021258, 0.0020493, 0.0020202, 0.0019974, 0.0020509, 0.0022485, 0.0021353, 0.0020414, 0.0020121]"
QBDF1_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.03613141086913599,0.05163031,"[0.048145, 0.046858, 0.0455381, 0.0511791, 0.0525852, 0.0514496, 0.075213, 0.0434193, 0.0440012, 0.0579146]"
Hairer4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.652237623163023e-6,0.00394713,"[0.0039893, 0.0041428, 0.0038658, 0.0038665, 0.0039118, 0.0041089, 0.0037782, 0.0038442, 0.0038347, 0.0041291]"
Scholz4_7_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.3195250661856015e-7,0.04028843,"[0.0377576, 0.0496612, 0.0376215, 0.0372959, 0.0364309, 0.0374484, 0.0515891, 0.0385585, 0.0381595, 0.0383617]"
QNDF2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",-2.7693528315025917e-5,0.033670610000000004,"[0.0417716, 0.0296873, 0.0300536, 0.0337268, 0.0404149, 0.0303118, 0.0304342, 0.0305679, 0.0392826, 0.0304554]"
ROS3_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",4.741182931164434e-5,0.00453779,"[0.0041837, 0.0043771, 0.0045414, 0.0051528, 0.0043686, 0.0048541, 0.0043742, 0.0042998, 0.0045218, 0.0047044]"
ROS3P_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.00014159588270887258,0.0047553000000000005,"[0.003801, 0.0040692, 0.0038963, 0.0038381, 0.0038034, 0.0042393, 0.0122492, 0.0042396, 0.0037452, 0.0036717]"
